"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
1983	"AN IMPROVED TECHNIQUE FOR PREPARING SOLVENT CAST FILMS FROM ACRYLIC FIBERS FOR THE RECORDING OF INFRARED SPECTRA"	"GARGER EF"	NA	"DIAGNOSIS;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  INFRARED RADIATION;  INFRARED SPECTROMETRY;  INFRARED SPECTRUM;  METHODOLOGY;  NONBIOLOGICAL MODEL"	"10.1520/jfs11559j"	"JOURNAL OF FORENSIC SCIENCES"	"USACIL-EUROPE, APO, NY 09757, UNITED STATES"	"Scopus"	"ARTICLE"
1983	"APPLICATION OF MICROSPECTROPHOTOMETRY IN DOCUMENT EXAMINATION"	"PFEFFFERLI PW"	"COLOUR;  INK;  MICROSPECTROPHOTOMETRY;  NANOSPEC;  QUESTIONED DOCUMENTS"	"DIAGNOSIS;  DOCUMENTATION;  FORENSIC MEDICINE;  IDENTIFICATION;  MICROSPECTROPHOTOMETRY;  NONHUMAN;  THEORETICAL STUDY"	"10.1016/0379-0738(83)90142-1"	"FORENSIC SCIENCE INTERNATIONAL"	"INSTITUT DE POLICE SCIENTIFIQUE ET DE CRIMINOLOGIE, UNIVERSITY OF LAUSANNE, SWITZERLAND"	"Scopus"	"ARTICLE"
1983	"CLUES IN PEDESTRIAN-VEHICLE COLLISIONS AND THEIR SIGNIFICANCE FOR RECONSTRUCTION OF THE ACCIDENT [SPURENBEFUNDE BEI FUGNGER-FAHRZEUGKOLLISIONEN UND IHRE BEDEUTUNG FR DIE UNFALLREKONSTRUKTION]"	"METTER D"	"CLOTHES MARKS; VEHICLE MARKS;  PEDESTRIAN ACCIDENTS; CLUES;  TRACES OF RUBBED-OFF PAINT"	"CLINICAL ARTICLE;  DIAGNOSIS;  FATALITY;  FORENSIC MEDICINE;  HUMAN;  INJURY;  PEDESTRIAN;  RECONSTRUCTION;  TRAFFIC ACCIDENT;  VEHICLE;  ARTICLE;  CAR;  CLOTHING;  TEXTILE; PAINT; ACCIDENTS; TRAFFIC;  AUTOMOBILES;  ENGLISH ABSTRACT;  LACQUER;  TEXTILES"	"10.1007/BF01882445"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT WRZBURG, VERSBACHER STR. 3, WRZBURG, D-8700, GERMANY"	"Scopus"	"ARTICLE"
1983	"COLOR MATCHING BY MICROSPECTROPHOTOMETRY, A MEW DIMENSION IN DOCUMENT EXAMINATION"	"HAUSDORFF HH;COATES VJ"	NA	"ABSORPTION;  DYES AND PIGMENTS;  MICROSPECTROPHOTOMETER CAPABILITIES;  PAINT CHIPS;  REFLECTANCE SPECTRA; COLOR"	"10.1117/12.935780"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"NANOMETRICS, INC., 126 OLD RIDGEFIELD READ, WILTON, CT, 06897, UNITED STATES"	"Scopus"	"ARTICLE"
1983	"COMPARATIVE ELECTRON-MICROSCOPIC INVESTIGATION OF POSTMORTEM HUMAN HEART MUSCLE BIOPSY"	"SOMOGYI E;BALOGH I;SOTONYI P;KERENYI NA"	NA	"CYTOCHROME C OXIDASE;  SUCCINATE DEHYDROGENASE; CLINICAL ARTICLE;  DIAGNOSIS;  ELECTRON MICROSCOPY;  FATALITY;  FORENSIC MEDICINE;  HEART;  HEART INFARCTION;  HEART MUSCLE;  HISTOLOGY;  HISTOPATHOLOGY;  HUMAN;  LEGAL ASPECT;  SUDDEN DEATH"	"10.1097/00000433-198303000-00002"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"SEMMELWEIS UNIV. MED. SCH., 1450 BUDAPEST, HUNGARY"	"Scopus"	"ARTICLE"
1983	"DISEASES ASSOCIATED WITH ASBESTOS EXPOSURE. DIAGNOSTIC PERSPECTIVES IN FORENSIC PATHOLOGY"	"EHRENREICH T ;SELIKOFF IJ"	NA	"ASBESTOS; CARCINOGENESIS;  DIAGNOSIS;  EPIDEMIOLOGY;  ETIOLOGY;  FIBROGENESIS;  FORENSIC MEDICINE;  FORENSIC PATHOLOGY;  HISTOLOGY;  HUMAN;  LEGAL ASPECT;  LUNG CANCER;  MESOTHELIOMA;  RESPIRATORY SYSTEM;  REVIEW"	"10.1097/00000433-198303000-00007"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"ENVIRON. SCI. LAB., MT. SINAI SCH. MED., NEW YORK, NY 10029, UNITED STATES"	"Scopus"	"ARTICLE"
1983	"FORENSIC APPLICATIONS OF PYROLYSIS CAPILLARY GAS CHROMATOGRAPHY"	"CHALLINOR JM"	"ALKYD RESINS;  CAPILLARY; VITREOUS SILICA;  POLYMERS;  PYROLYSIS GAS CHROMATOGRAPHY"	"POLYMER; ANALYSIS;  DIAGNOSIS;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  LEGAL ASPECT;  METHODOLOGY;  PYROLYSIS"	"10.1016/0379-0738(83)90132-9"	"FORENSIC SCIENCE INTERNATIONAL"	"FORENSIC CHEMISTRY DIVISION, GOVERNMENT CHEMICAL LABORATORIES, 30 PLAIN ST, PERTH, WA, AUSTRALIA"	"Scopus"	"ARTICLE"
1983	"FORENSIC SCIENCE"	"BRETTELL TA;SAFERSTEIN R"	NA	"CHROMATOGRAPHY;  DYED (CONDITION);  FIBRE ANALYSIS;  FIBRES;  HUMAN HAIR;  LIGHT SCATTERING;  MAN MADE;  MICROSCOPIC ANALYSIS (FIBRE IDENTIFICATION);  NATURAL POLYMER;  SYNTHETIC;  TESTING"	NA	NA	"NEW JERSEY POLICE"	"Scopus"	"REVIEW"
1983	"THE COMPARISON OF NANOGRAM QUANTITIES OF INK USING VISIBLE MICROSPECTROMETRY"	"LAING DK;ISAACS MDJ"	"COMPARISON;  DOCUMENT EXAMINATION;  INKS;  MICROSPECTROPHOTOMETRY"	"INK;  TRACE ELEMENT; DIAGNOSIS;  FORENSIC MEDICINE;  LEGAL ASPECT;  MICROSPECTROMETRY;  NONHUMAN"	"10.1016/S0015-7368(83)72225-5"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"CENTRAL RESEARCH ESTABLISHMENT, HOME OFFICE FORENSIC SCIENCE SERVICE, ALDERMASTON, READING, BERKSHIRE, RG7 4PN, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1983	"THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS"	"GRIEVE MC"	NA	"DIAGNOSIS;  FIBER;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  IDENTIFICATION;  LEGAL ASPECT;  NONBIOLOGICAL MODEL;  NONHUMAN;  SHORT SURVEY"	"10.1520/jfs11595j"	"JOURNAL OF FORENSIC SCIENCES"	"USACIL EUROPE, APO NEW YORK, NY 09757, UNITED STATES"	"Scopus"	"ARTICLE"
1983	"THE USE OF MELTING POINT AND REFRACTIVE INDEX DETERMINATION TO COMPARE COLOURLESS POLYESTER FIBRES"	"GRIEVE MC"	"FIBRES;  MELTING POINT;  POLYESTER;  POLYMER VARIATION;  REFRACTIVE INDICES"	"POLYESTER; DIAGNOSIS;  FIBER;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  IDENTIFICATION;  MELTING POINT;  METHODOLOGY;  NONHUMAN;  REFRACTION INDEX;  THEORETICAL STUDY"	"10.1016/0379-0738(83)90117-2"	"FORENSIC SCIENCE INTERNATIONAL"	"U.S. ARMY CRIMINAL INVESTIGATION LABORATORY, FRANKFURT/MAIN, GERMANY"	"Scopus"	"ARTICLE"
1983	"THERMAL SHRINKAGE OF SMALL SINGLE ACRYLIC FIBERS - A TECHNIQUE OF FORENSIC POTENTIAL"	"BRESEE RR;ORR CL"	"ACRYLIC;  FIBER;  FORENSIC;  SHRINKAGE"	"ACRYL;  DIAGNOSIS;  FIBER;  FORENSIC SCIENCE;  IDENTIFICATION;  LEGAL ASPECT;  NONBIOLOGICAL MODEL"	"10.1016/0379-0738(83)90128-7"	"FORENSIC SCIENCE INTERNATIONAL"	"DEPARTMENT OF CLOTHING, TEXTILES AND INTERIOR DESIGN, KANSAS AGRICULTURAL EXPERIMENT STATION, KANSAS STATE UNIVERSITY, MANHATTAN, KS, UNITED STATES"	"Scopus"	"ARTICLE"
1983	"ZUR ULTRASTRUKTUR VITALER, POSTMORTALER UND AUTOLYSIERTER GERINNSEL"	"BHM E;HOCHKIRCHEN KH"	"FIBRIN-NETWORKS;  SCANNING ELECTRON MICROSCOPY;  VITAL REACTION;  VITAL/POSTMORTEM HEMORRHAGIES"	"BLOOD AND HEMOPOIETIC SYSTEM;  BLOOD CLOT;  DIAGNOSIS;  ELECTRON MICROSCOPY;  FORENSIC MEDICINE;  LEGAL ASPECT;  NONHUMAN;  SCANNING ELECTRON MICROSCOPY;  ULTRASTRUCTURE; ANIMAL;  AUTOLYSIS;  AUTOPSY;  ENGLISH ABSTRACT;  FIBRIN;  HUMAN;  LIVER;  MICROSCOPY; ELECTRON; SCANNING;  MUSCLES;  RATS;  SKIN;  WOUNDS AND INJURIES"	"10.1016/0379-0738(83)90100-7"	"FORENSIC SCIENCE INTERNATIONAL"	"INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT DSSELDORF, MOORENSTRASSE 5, D 4000 DSSELDORF 1, GERMANY"	"Scopus"	"ARTICLE"
1984	"AGE CHARACTERISTICS OF NORMAL HUMAN SKELETAL MUSCULATURE [ALTERSKENNZAHLEN DER NORMALEN MENSCHLICHEN SKELETTMUSKULATUR]"	"WEIGEL B;BOLTE B;ZIEGAN JB"	NA	"AGE;  AGING;  DIAGNOSIS;  FIBER;  FORENSIC MEDICINE;  HISTOLOGY;  HUMAN;  HUMAN CELL;  METHODOLOGY;  MUSCLE;  PRELIMINARY COMMUNICATION"	NA	"KRIMINALISTIK UND FORENSISCHE WISSENSCHAFTEN"	"INSTITUT FUR GERICHTLICHE MEDIZIN UND KRIMINALISTIK DER KARL-MARX-UNIVERSITAT, LEIPZIG, GERMANY"	"Scopus"	"ARTICLE"
1984	"AN ENZYME LINKED IMMUNOSORBENT ASSAY (ELISA) FOR THE IDENTIFICATION OF KM (3) IN DRIED BLOODSTAINS"	"NEWALL P"	NA	"IMMUNOGLOBULIN ALLOTYPE; BLOOD AND HEMOPOIETIC SYSTEM;  BLOOD GROUP M ANTIGEN;  BLOOD STAIN;  DIAGNOSIS;  ENZYME LINKED IMMUNOSORBENT ASSAY;  FORENSIC MEDICINE;  HUMAN;  HUMAN CELL;  METHODOLOGY;  PRELIMINARY COMMUNICATION"	"10.1080/00085030.1984.10757370"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"CENTRE OF FORENSIC SCIENCES, 25 GROSVENOR STREET, TORONTO, ON, CANADA"	"Scopus"	"ARTICLE"
1984	"CANNABINOID LEVEL IN THE LEAVES AS A TOOL FOR THE EARLY DISCRIMINATION OF CANNABIS CHEMIOVARIANTS"	"BARNI-COMPARINI I;FERRI S;CENTINI F"	"CANNABINOIDS;  CANNABIS SATIVA;  CHEMIOVARIANTS;  NARCOTICS"	"CANNABICHROMENE;  CANNABIDIOL;  CANNABINOID;  CANNABINOL;  CANNABIS;  DRONABINOL; CHROMATOGRAPHY;  DRUG ANALYSIS;  DRUG DETERMINATION;  METHODOLOGY;  NONHUMAN; CANNABINOIDS;  CHROMATOGRAPHY; GAS;  FORENSIC MEDICINE;  PLANT EXTRACTS"	"10.1016/0379-0738(84)90149-X"	"FORENSIC SCIENCE INTERNATIONAL"	"INSTITUTES OF FORENSIC MEDICINE, UNIVERSITY OF SIENA, VIA DELLE SCOTTE, 53100 SIENA, ITALY;INSTITUTES OF BOTANY, UNIVERSITY OF SIENA, VIA DELLE SCOTTE, 53100 SIENA, ITALY"	"Scopus"	"ARTICLE"
1984	"CYTOLOGIC FINDINGS AS INDICATORS: MORPHOLOGIC AND IMMUNOHISTOCHEMICAL IDENTIFICATION OF HUMAN BRAIN TISSUE ON THE ATTACKER'S CLOTHING [ZYTOLOGISCHER BEFUND ALS INDIZ: MORPHOLOGISCHE UND IMMUNHISTOCHEMISCHE IDENTIFIZIERUNG VON MENSCHLICHEM HIRNGEWEBE AN DER TATERKLEIDUNG]"	"OEHMICHEN M;KONIG HG;PEDAL I"	NA	"ADULT;  AUTOPSY;  BLOOD AND HEMOPOIETIC SYSTEM;  BRAIN;  CASE REPORT;  CENTRAL NERVOUS SYSTEM;  CLOTHING;  CYTOLOGY;  DIAGNOSIS;  FATALITY;  FORENSIC MEDICINE;  HISTOLOGY;  HOMICIDE;  HUMAN;  HUMAN CELL;  IMMUNOHISTOCHEMISTRY;  METHODOLOGY;  PRELIMINARY COMMUNICATION; BLOOD STAINS;  ENGLISH ABSTRACT;  FLUORESCENT ANTIBODY TECHNIQUE;  MALE"	NA	"ARCHIV FUR KRIMINOLOGIE"	"C/O INSTITUT FUR RECHTSMEDIZIN, D-5000 KOLN 30, GERMANY"	"Scopus"	"ARTICLE"
1984	"DISTINCTIVE QUALITIES OF TODAY'S PENS"	"HILTON O"	"DOCUMENT;  EXAMINATION;  INKS;  PEN"	"DIAGNOSIS;  DOCUMENT EXAMINATION;  HUMAN;  LEGAL ASPECT;  METHODOLOGY;  NONBIOLOGICAL MODEL;  PRELIMINARY COMMUNICATION;  WRITING"	"10.1016/S0015-7368(84)72312-7"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"PO BOX 592, LANDRUM, SOUTH CAROLINA, 29356, UNITED STATES"	"Scopus"	"NOTE"
1984	"FIBER EVIDENCE: LABORATORY METHODS AND OBSERVATIONS FROM CASEWORK"	"FONG W"	NA	"CASE REPORT;  DIAGNOSIS;  FIBER;  FORENSIC MEDICINE;  FORENSIC SCIENCE;  IDENTIFICATION;  NONBIOLOGICAL MODEL;  NONHUMAN"	"10.1520/jfs11633j"	"JOURNAL OF FORENSIC SCIENCES"	"OFFICE OF THE DISTRICT ATTORNEY, SANTA CLARA COUNTY LABORATORY OF CRIMINALISTICS, SAN JOSE, CA 95112, UNITED STATES"	"Scopus"	"ARTICLE"
1984	"FORENSIC CONSIDERATIONS IN EXAMINING THE BRAIN"	"KIRKPATRICK JB"	NA	"BONE;  CENTRAL NERVOUS SYSTEM;  CONTUSION;  DIAGNOSIS;  EDUCATION;  EPIDURAL HEMATOMA;  FATALITY;  FORENSIC MEDICINE;  FORENSIC PATHOLOGY;  HISTOLOGY;  HUMAN;  HUMAN CELL;  INJURY;  SKULL FRACTURE;  SUBDURAL HEMATOMA; BRAIN;  CAUSE OF DEATH;  CRANIOCEREBRAL TRAUMA"	NA	"SEMINARS IN DIAGNOSTIC PATHOLOGY"	"DEPARTMENT OF PATHOLOGY, BAYLOR COLLEGE OF MEDICINE, HOUSTON, TX 77030, UNITED STATES"	"Scopus"	"REVIEW"
1984	"HANGING: SUICIDE OR HOMICIDE? [ERHNGEN: SUIZID ODER TTUNGSDELIKT?]"	"PSCHEL K;HOLTZ W;HILDEBRAND E;NAEVE W;BRINKMANN B"	NA	"ADULT;  AGED;  AIRWAY OBSTRUCTION;  ARTICLE;  CASE REPORT;  CHILD;  FEMALE;  FORENSIC MEDICINE;  HOMICIDE;  HUMAN;  LEGAL ASPECT;  LUNG;  MALE;  METHODOLOGY;  NECK;  PATHOLOGY;  SUICIDE; ADULT;  ENGLISH ABSTRACT;  MIDDLE AGE"	NA	"ARCHIV FUR KRIMINOLOGIE"	NA	"Scopus"	"ARTICLE"
1984	"OBSERVATIONS ON REDISTRIBUTION OF TEXTILE FIBRES"	"ROBERTSON J;LLOYD AK"	"DISTRIBUTION;  FIBRES;  INTERPRETATION"	"DIAGNOSIS;  FIBER;  HUMAN;  LEGAL ASPECT;  NONHUMAN;  TEXTILE;  THEORETICAL STUDY"	"10.1016/S0015-7368(84)72279-1"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"FORENSIC SCIENCE UNIT, UNIVERSITY OF STRATHCLYDE, ROYAL COLLEGE, 204 GEORGE STREET, GL 1XW, UNITED KINGDOM"	"Scopus"	"NOTE"
1984	"ON THE LOCALIZATION OF ENZYMES IN THE HUMAN SPERMATOZOA. I. PHOSPHATASES"	"TANIGUCHI K;MAMBA K;KITAHAMA M"	NA	"ACID PHOSPHATASE;  ADENOSINE TRIPHOSPHATASE; DIAGNOSIS;  ELECTRON MICROSCOPY;  ENZYME LOCALIZATION;  FORENSIC MEDICINE;  HUMAN;  HUMAN CELL;  MALE GENITAL SYSTEM;  NORMAL VALUE;  PRELIMINARY COMMUNICATION;  SPERMATOZOON; ANIMAL;  ENGLISH ABSTRACT;  HISTOCYTOCHEMISTRY;  MACACA FASCICULARIS;  MALE;  MICROSCOPY;  PHOSPHORIC MONOESTER HYDROLASES;  SPERMATOZOA;  SUPPORT; NON-U.S. GOV'T"	NA	"JAPANESE JOURNAL OF LEGAL MEDICINE"	"DEPARTMENT OF LEGAL MEDICINE, ST. MARIANNA UNIVERSITY SCHOOL OF MEDICINE, KAWASAKI, JAPAN"	"Scopus"	"ARTICLE"
1984	"PAPER IDENTIFICATION BY SPECTROPHOTOMETRIC SPECTROFLUOROMETRIC, AND CHROMATOGRAPHIC ANALYSIS OF FLUORESCENT BRIGHTENERS: A CASE STUDY"	"ROHILLA DR;MUKHI SL;SEHGAL VN"	NA	"CHROMATOGRAPHY;  DIAGNOSIS;  DOCUMENT EXAMINATION;  IDENTIFICATION;  LEGAL ASPECT;  METHODOLOGY;  NONBIOLOGICAL MODEL;  NONHUMAN;  NORMAL VALUE;  PAPER;  PRELIMINARY COMMUNICATION;  SPECTROFLUOROMETRY;  SPECTROPHOTOMETRY"	NA	"JOURNAL OF POLICE SCIENCE AND ADMINISTRATION"	"CENTRAL FORENSIC SCIENCE LABORATORY, NEW DELHI 110003, INDIA"	"Scopus"	"ARTICLE"
1984	"UNTERSUCHUNGEN BER DIE HAARSTRUKTUR BEI THALLIUMVERGIFTUNG"	"METTER D;VOCK R"	"MORPHOLOGICAL FEATURES OF THE HAIR STRUCTURE IN THALLIUM INTOXICATION;  THALLIUM INTOXICATION; MICROSCOPIC INVESTIGATION OF THE HAIR"	"THALLIUM;  THALLIUM; CLINICAL ARTICLE;  ELECTRON MICROSCOPY;  HAIR ANALYSIS;  HAIR STRUCTURE;  HUMAN;  HUMAN CELL;  INTOXICATION;  ULTRASTRUCTURE;  ADULT;  ARTICLE;  BLOOD;  CASE REPORT;  FORENSIC MEDICINE;  HAIR;  MALE;  URINE; ADULT;  ENGLISH ABSTRACT"	"10.1007/BF02116423"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR RECHTSMEDIZIN DER, UNIVERSITT WRZBURG, VERSBACHER STR. 3, WRZBURG, D-8700, GERMANY"	"Scopus"	"ARTICLE"
1984	"UNTERSUCHUNGEN ZUR WIRKUNG VON ELEKTRIZITT AUF DEN MYOGLOBINGEHALT HUMANER HERZ- UND SKELETTMUSKULATUR"	"KEIL W;YOSHIDA H;ISHIYAMA I"	"DEATH BY ELECTRICITY;  INDIRECT IMMUNOPEROXIDASE METHOD;  MYOGLOBIN IN HEART AND SKELETAL MUSCLES"	"MYOGLOBIN;  MYOGLOBIN; ADULT;  ARTICLE;  ELECTRIC INJURY;  HEART MUSCLE;  HUMAN;  LIGHTNING;  MALE;  MUSCLE;  PATHOLOGY;  AUTOPSY;  CLINICAL ARTICLE;  DIAGNOSIS;  ELECTRICITY;  HEART;  INJURY;  ELECTRIC INJURIES;  ENGLISH ABSTRACT;  MUSCLES;  MYOCARDIUM"	"10.1007/BF02116421"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"INSTITUT FR GERICHTLICHE MEDIZIN DES BEREICHS MEDIZIN (CHARIT) DER, HUMBOLDT-UNIVERSITT, HANNOVERSCHE STR. 6, BERLIN, DDR-1040, GERMANY;DEPARTMENT OF LEGAL MEDICINE, TEIKYO UNIVERSITY SCHOOL OF MEDICINE, ITABASHI-KU, KAGA 2-11-1, 173-TOKYO, JAPAN;DEPARTMENT OF LEGAL MEDICINE, FACULTY OF MEDICINE, UNIVERSITY OF TOKYO, BUNKYO-KU, HONGO 7-3-1, 113-TOKYO, JAPAN"	"Scopus"	"ARTICLE"
1985	"AN ENZYME LINKED IMMUNOSORBENT ASSAY (ELISA) FOR THE IDENTIFICATION OF KM (3) IN DRIED BLOODSTAINS"	"NEWALL P"	NA	"BLOOD AND HEMOPOIETIC SYSTEM;  BLOOD STAIN;  CLINICAL ARTICLE;  CONTROLLED STUDY;  DIAGNOSIS;  ENZYME LINKED IMMUNOSORBENT ASSAY;  ETIOLOGY;  FORENSIC MEDICINE;  HUMAN;  LEGAL ASPECT;  NORMAL HUMAN;  PRELIMINARY COMMUNICATION"	"10.1080/00085030.1985.10757387"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"CENTRE OF FORENSIC SCIENCES, 25 GROSVENOR STREET, TORONTO, ON, CANADA"	"Scopus"	"ARTICLE"
1985	"CONTRIBUTION OF TREE-RING DATING AND WOOD STRUCTURE ANALYSIS TO THE FORENSIC SCIENCES"	"JOZSA LA"	NA	"WOOD; BIOLOGICAL MODEL;  CASE REPORT;  CLASSIFICATION;  CONTROLLED STUDY;  CRIME DETECTION;  DIAGNOSIS;  ECOLOGY;  EDUCATION;  ETIOLOGY;  HIGHER PLANT;  HISTOLOGY;  NONHUMAN;  PRELIMINARY COMMUNICATION;  TREE"	"10.1080/00085030.1985.10757394"	"JOURNAL OF THE CANADIAN SOCIETY OF FORENSIC SCIENCE"	"FORINETEK CANADA CORP., WESTERN LABORATORY, 6620 N.W. MARINE DRIVE, VANCOUVER, BC, V6T 1X2, CANADA"	"Scopus"	"ARTICLE"
1985	"ELEMENTAL ANALYSIS OF JEANS FIBERS [ELEMENTANALYSE VON JEANSFASERN]"	"SCHWARZ G;SCHMIDT PF"	NA	"CONTROLLED STUDY;  COTTON;  DIAGNOSIS;  FORENSIC MEDICINE;  INDIGO;  LEGAL ASPECT;  NONHUMAN;  PRELIMINARY COMMUNICATION;  THEORETICAL STUDY;  WASHING;  X RAY ANALYSIS;  ARTICLE;  CLOTHING;  ELECTRON PROBE MICROANALYSIS;  GOSSYPIUM;  HUMAN;  SCANNING ELECTRON MICROSCOPY; ELEMENT; CLOTHING;  ELEMENTS;  ENGLISH ABSTRACT;  MICROSCOPY; ELECTRON; SCANNING"	NA	"BEITRAGE ZUR GERICHTLICHEN MEDIZIN"	"INSTITUT FUR RECHTSMEDIZIN, WESTFALISCHE WILHELMS-UNIVERSITAT, D-4400 MUNSTER, GERMANY"	"Scopus"	"ARTICLE"
1985	"FELT TIP PEN WRITING: PROBLEMS OF IDENTIFICATION"	"MASSON JF"	NA	"CENTRAL NERVOUS SYSTEM;  DIAGNOSIS;  FORENSIC MEDICINE;  HANDWRITING;  HUMAN;  HUMAN EXPERIMENT;  IDENTIFICATION;  LEGAL ASPECT;  METHODOLOGY;  MUSCULOSKELETAL SYSTEM;  NORMAL HUMAN;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL"	NA	"JOURNAL OF FORENSIC SCIENCES"	"EXAMINER OF QUESTIONED DOCUMENTS, 1415 ESPERSON BLDG., HOUSTON, TX 77055, UNITED STATES"	"Scopus"	NA
1985	"FIBRE DIAMETER AND THE TRANSFER OF WOOL FIBRES"	"CORDINER SJ;STRINGER P;WILSON PD"	"DIAMETER;  FIBRE;  TRANSFER;  WOOL"	"CONTROLLED STUDY;  DIAGNOSIS;  DIAMETER;  EDUCATION;  ETIOLOGY;  FIBER;  FORENSIC MEDICINE;  FRAGMENTATION;  LEGAL ASPECT;  NONHUMAN;  PRELIMINARY COMMUNICATION;  THEORETICAL STUDY;  TRANSFER;  WOOL"	"10.1016/S0015-7368(85)72430-9"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"FORENSIC SECTION, CHEMISTRY DIVISION, DEPARTMENT OF SCIENTIFIC AND INDUSTRIAL RESEARCH, PRIVATE BAG, PETONE, NEW ZEALAND"	"Scopus"	"NOTE"
1985	"HIGH-PERFORMANCE LIQUID CHROMATOGRAPHIC METHOD UTILISING SINGLE OR MULTI-WAVELENGTH DETECTION FOR THE COMPARISON OF DISPERSE DYES EXTRACTED FROM POLYESTER FIBRES"	"WHEALS BB;WHITE PC;PATERSON MD"	NA	NA	"10.1016/S0021-9673(01)93519-8"	"JOURNAL OF CHROMATOGRAPHY A"	"METROPOLITAN POLICE FORENSIC SCIENCE LABORATORY, 109 LAMBETH ROAD, LONDON S.E. 1, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1985	"IDENTIFICATION OF MINERAL FIBERS IN THE LUNG [DIE IDENTIFIKATION VON FASERN IN DER LUNGE]"	"RUTTNER JR;SPYCHER MA;STOLKIN I"	NA	"ASBESTOS;  MINERAL FIBER; CLINICAL ARTICLE;  DIAGNOSIS;  ETIOLOGY;  FORENSIC MEDICINE;  HUMAN;  INTOXICATION;  LEGAL ASPECT;  LUNG;  MESOTHELIOMA;  METHODOLOGY;  RESPIRATORY SYSTEM;  SHORT SURVEY"	NA	"ATEMWEGS- UND LUNGENKRANKHEITEN"	"UNIVERSITATSSPITAL, CH-8091 ZURICH, SWITZERLAND"	"Scopus"	"ARTICLE"
1985	"INDUCTION OF EARLY ALVEOLAR INJURY BY INHALED ASBESTOS AND SILICA"	"BRODY AR;HILL LH;WARHEIT DB"	NA	"ASBESTOS;  CHEMOTACTIC FACTOR;  SILICON DIOXIDE; DIAGNOSIS;  ELECTRON MICROSCOPY;  EPITHELIUM CELL;  ETIOLOGY;  FORENSIC MEDICINE;  HISTOLOGY;  HUMAN;  INTOXICATION;  LUNG ALVEOLUS LESION;  MACROPHAGE;  PATHOPHYSIOLOGY;  PRELIMINARY COMMUNICATION;  PRIORITY JOURNAL;  RESPIRATORY SYSTEM; ANIMAL;  ASBESTOS;  ASBESTOSIS;  CHEMOTACTIC FACTORS; MACROPHAGE;  COMPLEMENT;  EPITHELIUM;  FIBROBLASTS;  MACROPHAGES;  MICE;  MICROSCOPY; ELECTRON; SCANNING;  PHAGOCYTOSIS;  PULMONARY ALVEOLI;  RATS"	NA	"FEDERATION PROCEEDINGS"	"LABORATORY OF PULMONARY PATHOBIOLOGY, NATIONAL INSTITUTE OF ENVIRONMENTAL HEALTH SCIENCES, RESEARCH TRIANGLE PARK, NC 27709, UNITED STATES"	"Scopus"	"ARTICLE"
1985	"IS SHOCK THE MODE OF DEATH IN SIDS?"	"KARIKS J"	"ACUTE CARDIAC FAILURE;  CARDIOGENIC SHOCK;  CARDIOMYOPATHY;  SIDS"	"AUTOPSY;  CARDIOMYOPATHY;  CARDIOVASCULAR SYSTEM;  CLINICAL ARTICLE;  CONGENITAL DISORDER;  CONTROLLED STUDY;  DIAGNOSIS;  EDUCATION;  EPIDEMIOLOGY;  ETIOLOGY;  FATALITY;  FORENSIC MEDICINE;  HEART;  HEART DISEASE;  HEART FAILURE;  HEART MUSCLE;  HISTOLOGY;  HISTOPATHOLOGY;  HUMAN;  INFANT;  MUSCLE;  PRELIMINARY COMMUNICATION;  SHOCK;  SUDDEN INFANT DEATH SYNDROME; ADRENAL GLANDS;  AUTOPSY;  BRAIN;  KIDNEY;  LIVER;  LUNG;  MYOCARDIUM;  PANCREAS; CARDIOGENIC;  SUDDEN INFANT DEATH;  THYMUS GLAND"	"10.1016/0306-9877(85)90102-1"	"MEDICAL HYPOTHESES"	"DIVISION OF FORENSIC MEDICINE P.O. BOX 90, GLEBE, N.S.W. 2037. AUSTRALIA., AUSTRALIA"	"Scopus"	"ARTICLE"
