"PY"	"TI"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"DT"	"C1W"	"C1S"	"SO"	"Coder"	"DOI"	"DE"
2008	"ATTENUATED TOTAL REFLECTION INFRARED SPECTROSCOPY: AN EFFICIENT TECHNIQUE TO QUANTITATIVELY DETERMINE THE ORIENTATION AND CONFORMATION OF PROTEINS IN SINGLE SILK FIBERS"	"BOULET-AUDET M;LEFEVRE T;BUFFETEAU M"	"GOLDEN GATE; INFRARED SPECTROSCOPY; IR SPECTROSCOPY; ATTENUATED TOTAL; REFLECTION; DIAMOND ATR; SILKWORM COCOON; SILK FIBER; SILK FIBROIN; MOLECULAR ORIENTATION; SECONDARY STRUCTURE"	"SECONDARY STRUCTURE; FORENSIC ANALYSIS; FIBROUS PROTEINS; SOLID-STATE;; AMIDE-I; POLYPEPTIDES; SPECTRA; ABSORPTION; BANDS; FILMS"	""	""	"ARTICLE"	"PEZOLET, M (CORRESPONDING AUTHOR), UNIV LAVAL, CTR RECH SCI \& INGN MACROMOL, CTR RECH FONCT STRUCT \& INGN PROT, DEPT CHIM, PAVILLON ALEXANDRE VACHON, QUEBEC CITY, PQ G1V 0A6, CANADA; BOULET-AUDET, MAXIME; LEFEVRE, THIERRY; PEZOLET, MICHEL, UNIV LAVAL, CTR RECH SCI \& INGN MACROMOL, CTR RECH FONCT STRUCT \& INGN PROT, DEPT CHIM, QUEBEC CITY, PQ G1V 0A6, CANADA; BUFFETEAU, THIERRY, UNIV BORDEAUX 1, INST MOL SCI, UMR 5255, CNRS, F-33405 TALENCE, FRANCE"	""	"APPLIED SPECTROSCOPY"	"WebOfScience"	"10.1366/000370208785793380"	"GOLDEN GATE; INFRARED SPECTROSCOPY; IR SPECTROSCOPY; ATTENUATED TOTAL; REFLECTION; DIAMOND ATR; SILKWORM COCOON; SILK FIBER; SILK FIBROIN; MOLECULAR ORIENTATION; SECONDARY STRUCTURE"
2016	"AUTHENTICATION OF TRACE MATERIAL EVIDENCE IN FORENSIC SCIENCE FIELD WITH INFRARED MICROSCOPIC TECHNIQUE"	"JIANG ZQ;HU KL;JIANG ZHI-QUAN JZ;HU KE-LIANG HK"	"INFRARED MICROSCOPIC TECHNIQUE; FORENSIC SCIENCE; TRACE MATERIAL; EVIDENCE"	"SPECTROSCOPY"	"FORENSIC SCIENCE;  INFRARED MICROSCOPIC TECHNIQUE;  TRACE MATERIAL EVIDENCE"	"AUTHENTICATION;  NONDESTRUCTIVE EXAMINATION;  SPECTROSCOPY;  SPECTRUM ANALYSIS;  VIBRATION ANALYSIS; EXTERNAL INTERFERENCE;  FORENSIC SCIENCE;  FOURIER TRANSFORM INFRA REDS;  INFRARED SPECTRAL ANALYSIS;  INFRARED SPECTROSCOPIC;  MICROSCOPIC TECHNIQUES;  SPECTROSCOPIC EVIDENCE;  TRACE MATERIAL EVIDENCE; TRACE ANALYSIS; FORENSIC SCIENCE;  INFRARED SPECTROSCOPY;  MICROSCOPY;  PROCEDURES; FORENSIC SCIENCES; FOURIER TRANSFORM INFRARED"	"ARTICLE"	"JIANG, ZQ (CORRESPONDING AUTHOR), UNIV SCI \& TECHNOL CHINA, INSTRUMENTS CTR PHYS SCI, HEFEI 230026, PEOPLES R CHINA; JIANG ZHI-QUAN; HU KE-LIANG, UNIV SCI \& TECHNOL CHINA, INSTRUMENTS CTR PHYS SCI, HEFEI 230026, PEOPLES R CHINA"	"INSTRUMENTS' CENTER FOR PHYSICAL SCIENCES, UNIVERSITY OF SCIENCE AND TECHNOLOGY OF CHINA, HEFEI, 230026, CHINA"	"GUANG PU XUE YU GUANG PU FEN XI/SPECTROSCOPY AND SPECTRAL ANALYSIS;SPECTROSCOPY AND SPECTRAL ANALYSIS"	"Scopus,WebOfScience"	"10.3964/j.issn.1000-0593(2016)03-0706-05"	"INFRARED MICROSCOPIC TECHNIQUE; FORENSIC SCIENCE; TRACE MATERIAL; EVIDENCE; FORENSIC SCIENCE;  INFRARED MICROSCOPIC TECHNIQUE;  TRACE MATERIAL EVIDENCE"
2009	"AUTOMATED EXTRACTION OF DIRECT, REACTIVE, AND VAT DYES FROM CELLULOSIC FIBERS FOR FORENSIC ANALYSIS BY CAPILLARY ELECTROPHORESIS"	"DOCKERY CR;STEFAN AR;NIEUWLAND AA;ROBERSON SN;BAGULEY BM;HENDRIX JE;MORGAN SL"	"FORENSIC ANALYSIS; COTTON FIBERS; EXTRACTION OF DIRECT; REACTIVE AND VAT; DYES; CAPILLARY ELECTROPHORESIS"	"COTTON; CLASSIFICATION"	"CAPILLARY ELECTROPHORESIS;  COTTON FIBERS;  EXTRACTION OF DIRECT; REACTIVE AND VAT DYES;  FORENSIC ANALYSIS"	"AMMONIUM ACETATE;  AUTOMATED EXTRACTION;  CELLULOSIC FIBERS;  DESIGNED EXPERIMENTS;  DIODE ARRAY DETECTION;  EXTRACTION EFFICIENCIES;  FORENSIC ANALYSIS;  MICROPLATE READERS;  OPTIMUM CONDITIONS;  RAPID SCREENING;  RESEARCH EFFORTS;  SODIUM DITHIONITE;  SOLVENT COMPOSITION;  UV-VISIBLE;  UV-VISIBLE SPECTROPHOTOMETER; ACETONITRILE;  AMMONIUM COMPOUNDS;  CAPILLARY ELECTROPHORESIS;  COTTON;  COTTON FIBERS;  ELECTROCHEMISTRY;  FIBERS;  SODIUM;  SOLVENTS;  TRACE ANALYSIS;  VAT DYES;  WATER ANALYSIS; SOLVENT EXTRACTION;  CELLULOSE;  DIODES;  ELECTROLYTES;  ELECTROPHORESIS;  EXTRACTION;  FORENSICS; GOSSYPIUM HIRSUTUM"	"ARTICLE"	"MORGAN, SL (CORRESPONDING AUTHOR), UNIV S CAROLINA, DEPT CHEM \& BIOCHEM, COLUMBIA, SC 29208 USA; DOCKERY, C R; STEFAN, A R; NIEUWLAND, A A; ROBERSON, S N; BAGULEY, B M; HENDRIX, J E; MORGAN, S L, UNIV S CAROLINA, DEPT CHEM \& BIOCHEM, COLUMBIA, SC 29208 USA"	"DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY, UNIVERSITY OF SOUTH CAROLINA, COLUMBIA, SC 29208, UNITED STATES;DEPARTMENT OF CHEMISTRY AND BIOCHEMISTRY, KENNESAW STATE UNIVERSITY, KENNESAW, GA 30144, UNITED STATES;POLYMATHIC ANALYTICAL LABS, 3737 INDUSTRIAL BLVD., ORANGEBURG, SC 29118, UNITED STATES;BOX 1782, VORIDIAN ,HWY. 21 S., COLUMBIA, SC 29202-1782, UNITED STATES;WASHOE CO. SHERIFF FORENSIC SCIENCE DIVISION, 911 PARR BLVD., RENO, NV 89512, UNITED STATES"	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"Scopus,WebOfScience"	"10.1007/s00216-009-2876-8"	"FORENSIC ANALYSIS; COTTON FIBERS; EXTRACTION OF DIRECT; REACTIVE AND VAT; DYES; CAPILLARY ELECTROPHORESIS; CAPILLARY ELECTROPHORESIS;  COTTON FIBERS;  EXTRACTION OF DIRECT; REACTIVE AND VAT DYES;  FORENSIC ANALYSIS"
2010	"AUTOMOTIVE FLOCK AND ITS SIGNIFICANCE IN FORENSIC FIBRE EXAMINATIONS"	"JONES J;COYLE TJ"	"TRACE EVIDENCE; VEHICLES; FLOCK; FIBRES; MICROSCOPY; FTIR; RAMAN; DISCRIMINATING POWER"	"BLUE"	"DISCRIMINATING POWER;  FIBRES;  FLOCK;  FTIR;  MICROSCOPY;  RAMAN;  TRACE EVIDENCE;  VEHICLES"	"CARBON FIBER;  NYLON;  POLYESTER; ARTICLE;  CAR;  CHEMICAL ANALYSIS;  CONTROLLED STUDY;  FORENSIC IDENTIFICATION;  MOTOR VEHICLE;  NYLON FIBER;  POWER ANALYSIS;  QUANTITATIVE ANALYSIS;  SAMPLING;  STRUCTURE ANALYSIS;  TEXTILE FIBER"	"ARTICLE"	"JONES, J (CORRESPONDING AUTHOR), CONTACT TRACES LTD, CTR INNOVAT \& ENTERPRISE, BEGBROKE SCI PK,SANDY LANE, OXFORD OX5 1PF, ENGLAND; JONES, JOSEPHINE; COYLE, TIERNAN, CONTACT TRACES LTD, CTR INNOVAT \& ENTERPRISE, OXFORD OX5 1PF, ENGLAND"	"CONTACT TRACES LTD, THE CENTRE FOR INNOVATION AND ENTERPRISE, BEGBROKE SCIENCE PARK, SANDY LANE, YARNTON, OXFORD, OX5 1PF, UNITED KINGDOM"	"SCIENCE AND JUSTICE"	"Scopus,WebOfScience"	"10.1016/j.scijus.2009.05.003"	"TRACE EVIDENCE; VEHICLES; FLOCK; FIBRES; MICROSCOPY; FTIR; RAMAN; DISCRIMINATING POWER; DISCRIMINATING POWER;  FIBRES;  FLOCK;  FTIR;  MICROSCOPY;  RAMAN;  TRACE EVIDENCE;  VEHICLES"
2014	"AUTOPSY BY SILICO-ASBESTOSIS. A REVIEW OF A FORENSIC CASE [AUTOPSIA POR SILICO-ASBESTOSIS. REVISIN A PROPSITO DE UN CASO FORENSE]"	"SIBN OLANO A;SNCHEZ RODRGUEZ E;BARRERA PREZ E;LARRONDO ESPINOSA J;SALGUERO VILLADIEGO M"	""	""	"ASBESTOSIS;  PLEURAL PLAQUES;  PULMONARY FIBROSIS;  SILICO ASBESTOSIS"	""	"ARTICLE"	""	"MDICO FORENSE, SERVICIO, DE PATOLOGA, IML DE CDIZ, SPAIN;FACULTATIVO HISTOPATOLOGA, INTCF, SEVILLA, SPAIN;JEFE DE SERVICIO DE, HISTOPATOLOGA, INTCF, SEVILLA, SPAIN"	"CUADERNOS DE MEDICINA FORENSE"	"Scopus"	"10.4321/S1135-76062014000200005"	"ASBESTOSIS;  PLEURAL PLAQUES;  PULMONARY FIBROSIS;  SILICO ASBESTOSIS"
1988	"AUTOPSY FINDINGS IN TURTLE FLESH POISONING"	"CHANDRASIRI N;ARIYANANDA PL;FERNANDO SSD"	""	""	""	"AGE;  AMPHIBIA;  AUTOPSY;  CASE REPORT;  ETHNIC OR RACIAL ASPECTS;  FATALITY;  FEMALE;  HISTOLOGY;  HUMAN;  INTOXICATION;  MALE;  NONHUMAN;  ORAL DRUG ADMINISTRATION;  PRIORITY JOURNAL;  REPTILE;  SRI LANKA;  TURTLE; ADOLESCENT;  ANIMAL;  BREAST FEEDING;  FOOD POISONING;  INFANT;  MEAT;  TURTLES"	"ARTICLE"	""	"DEPARTMENT OF FORENSIC MEDICINE, FACULTY OF MEDICINE, PO BOX 70, GALLE, SRI LANKA"	"MEDICINE, SCIENCE AND THE LAW"	"Scopus"	"10.1177/002580248802800213"	""
1998	"AXONAL INJURY - A DIAGNOSTIC TOOL IN FORENSIC NEUROPATHOLOGY? A REVIEW"	"OEHMICHEN M;MEINER C;SCHMIDT V;PEDAL I;KNIG HG;SATERNUS KS;OEHMICHEN M;MEISSNER C;SCHMIDT V;PEDAL I;KONIG HG;SATERNUS KS"	"AXONAL INJURY; TRAUMATIC BRAIN INJURY; VITALITY; SURVIVAL TIME; BIOMECHANICS; DIFFUSE; AXONAL INJURY"	"AMYLOID PRECURSOR PROTEIN; NONMISSILE HEAD-INJURY; TRAUMATIC BRAIN; INJURY; BETA-APP; HUMANS; MARKER"	"AXONAL INJURY;  BIOMECHANICS;  DIFFUSE AXONAL INJURY;  SURVIVAL TIME;  TRAUMATIC BRAIN INJURY;  VITALITY"	"AMYLOID PRECURSOR PROTEIN;  EOSIN;  HEMATOXYLIN; ADOLESCENT;  ADULT;  AGED;  ARTICLE;  BIOMECHANICS;  BRAIN DEATH;  BRAIN HYPOXIA;  BRAIN ISCHEMIA;  CADAVER;  CHILD;  FEMALE;  FORENSIC PATHOLOGY;  GUNSHOT INJURY;  HEAD INJURY;  HEMORRHAGIC SHOCK;  HUMAN;  IMMUNOHISTOCHEMISTRY;  INCIDENCE;  INFANT;  MAJOR CLINICAL STUDY;  MALE;  NERVE INJURY;  NEUROPATHOLOGY;  PRIORITY JOURNAL;  SILVER STAINING;  SURVIVAL TIME; 80 AND OVER;  AMYLOID BETA-PROTEIN PRECURSOR;  AUTOPSY;  AXONS;  BRAIN INJURIES; PRESCHOOL;  HUMANS; NEWBORN;  MIDDLE AGED;  REPRODUCIBILITY OF RESULTS;  SENSITIVITY AND SPECIFICITY;  TIME FACTORS"	"ARTICLE"	"OEHMICHEN, M (CORRESPONDING AUTHOR), UNIV LUBECK, DEPT LEGAL MED, KAHLHORSTSTR 31-35, D-23562 LUBECK, GERMANY; UNIV LUBECK, DEPT LEGAL MED, D-23562 LUBECK, GERMANY; UNIV HALLE, DEPT LEGAL MED, HALLE, GERMANY; UNIV HEIDELBERG, DEPT LEGAL MED, D-6900 HEIDELBERG, GERMANY; UNIV TUBINGEN, DEPT LEGAL MED, D-72074 TUBINGEN, GERMANY; UNIV GOTTINGEN, DEPT LEGAL MED, D-3400 GOTTINGEN, GERMANY"	"DEPT. LEG. MED., MED. UNIVERSITY, D-23562 LBECK, GERMANY;DEPT. LEG. MED., UNIV. HALLE, HALLE, GERMANY;DEPT. LEG. MED., UNIV. HEIDELBERG, HEIDELBERG, GERMANY;DEPT. LEG. MED., UNIV. TBINGEN, TBINGEN, GERMANY;DEPT. LEG. MED., UNIV. GTTINGEN, GTTINGEN, GERMANY"	"FORENSIC SCIENCE INTERNATIONAL"	"Scopus,WebOfScience"	"10.1016/S0379-0738(98)00075-9"	"AXONAL INJURY; TRAUMATIC BRAIN INJURY; VITALITY; SURVIVAL TIME; BIOMECHANICS; DIFFUSE; AXONAL INJURY; AXONAL INJURY;  BIOMECHANICS;  DIFFUSE AXONAL INJURY;  SURVIVAL TIME;  TRAUMATIC BRAIN INJURY;  VITALITY"
1997	"AXONAL INJURY (AI) IN A FORENSIC-NEUROPATHOLOGICAL MATERIAL - INCIDENCE, VITALITY, SURVIVAL TIME, SPECIFICITY AND BIOMECHANICS"	"OEHMICHEN M;MEISSNER C;SCHMIDT V;PEDAL I;KONIG HG"	"AXONAL INJURY; BETA-AMYLOID PRECURSOR PROTEIN; BRAIN INJURY; VITALITY; SURVIVAL TIME; BIOMECHANICS"	""	""	""	"PROCEEDINGS PAPER"	"OEHMICHEN, M (CORRESPONDING AUTHOR), UNIV LUBECK, DEPT LEGAL MED, KAHLHORSTSTR 31-35, D-23562 LUBECK, GERMANY; UNIV LUBECK, DEPT LEGAL MED, D-23562 LUBECK, GERMANY"	""	"NEUROTRAUMATOLOGY: BIOMECHANIC ASPECTS, CYTOLOGIC AND MOLECULAR MECHANISMS"	"WebOfScience"	""	"AXONAL INJURY; BETA-AMYLOID PRECURSOR PROTEIN; BRAIN INJURY; VITALITY; SURVIVAL TIME; BIOMECHANICS"
1992	"AXONAL INJURY IN CLOSED HEAD INJURY BY ASSAULT: A QUANTITATIVE STUDY"	"CROOKS DA;SCHOLTZ CL;VOWLES GH;GREENWALD S;EVANS S"	""	""	""	"GLIAL FIBRILLARY ACIDIC PROTEIN; ARTICLE;  ASSAULT;  ASTROCYTE;  CLINICAL ARTICLE;  CONTROLLED STUDY;  CORPUS CALLOSUM;  HEAD INJURY;  HUMAN;  HUMAN TISSUE;  IMMUNOPEROXIDASE STAINING;  NERVE FIBER DEGENERATION;  PRIORITY JOURNAL;  QUANTITATIVE HISTOCHEMISTRY;  SILVER STAINING;  SURVIVAL TIME; AXONS;  BRAIN;  BRAIN INJURIES;  FORENSIC MEDICINE;  REGRESSION ANALYSIS;  SILVER;  STAINING AND LABELING;  TIME FACTORS;  VIOLENCE"	"ARTICLE"	""	"DEPARTMENT OF MORBID ANATOMY, THE ROYAL LONDON HOSPITAL, LONDON E1 1BB, UNITED KINGDOM;DEPARTMENT OF EPIDEMIOLOGY AND MEDICAL STATISTICS, THE LONDON HOSPITAL MEDICAL COLLEGE, LONDON E1 1BB, UNITED KINGDOM"	"MEDICINE, SCIENCE AND THE LAW"	"Scopus"	"10.1177/106002809203200204"	""
2011	"AXONAL INJURY IN YOUNG PEDIATRIC HEAD TRAUMA: A COMPARISON STUDY OF -AMYLOID PRECURSOR PROTEIN (-APP) IMMUNOHISTOCHEMICAL STAINING IN TRAUMATIC AND NONTRAUMATIC DEATHS"	"JOHNSON MW;STOLL L;RUBIO A;TRONCOSO JC;PLETNIKOVA O;FOWLER DR;LI L"	""	""	"AMYLOID PRECURSOR PROTEIN;  AUTOPSY;  AXONAL INJURY;  FORENSIC SCIENCE;  PEDIATRIC;  TRAUMATIC BRAIN INJURY"	"AMYLOID PRECURSOR PROTEIN; ARTICLE;  BRAIN;  CASE CONTROL STUDY;  CORONER;  CYTOPLASM;  FEMALE;  FORENSIC PATHOLOGY;  HEAD INJURY;  HUMAN;  IMMUNOHISTOCHEMISTRY;  INFANT;  MALE;  METABOLISM;  NERVE CELL;  NERVE FIBER;  NEWBORN;  PATHOLOGY;  PRESCHOOL CHILD;  RESUSCITATION;  RETROSPECTIVE STUDY;  STAINING;  SUDDEN INFANT DEATH SYNDROME; AMYLOID BETA-PROTEIN PRECURSOR;  AXONS;  CARDIOPULMONARY RESUSCITATION;  CASE-CONTROL STUDIES;  CHILD; PRESCHOOL;  CORONERS AND MEDICAL EXAMINERS;  CRANIOCEREBRAL TRAUMA;  HUMANS; NEWBORN;  NEURONS;  RETROSPECTIVE STUDIES;  STAINING AND LABELING;  SUDDEN INFANT DEATH"	"ARTICLE"	""	"OFFICE OF THE CHIEF MEDICAL EXAMINER (OCME), URBAN COUNTY GOVERNMENT CENTER, LOUISVILLE, KY, UNITED STATES;OFFICE OF THE CHIEF MEDICAL EXAMINER, STATE OF MARYLAND, BALTIMORE, MD, UNITED STATES;DEPARTMENT OF PATHOLOGY, THE JOHNS HOPKINS UNIVERSITY SCHOOL OF MEDICINE, BALTIMORE, MD, UNITED STATES;DEPARTMENTS OF PATHOLOGY AND NEUROLOGY, THE JOHNS HOPKINS UNIVERSITY SCHOOL OF MEDICINE, BALTIMORE, MD, UNITED STATES;DEPARTMENT OF PEDIATRICS, UNIVERSITY OF MARYLAND, BALTIMORE, MD, UNITED STATES;KEY LABORATORY OF EVIDENCE SCIENCE, CHINA UNIVERSITY OF POLITICAL SCIENCE AND LAW, BEIJING, CHINA"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus"	"10.1111/j.1556-4029.2011.01814.x"	"AMYLOID PRECURSOR PROTEIN;  AUTOPSY;  AXONAL INJURY;  FORENSIC SCIENCE;  PEDIATRIC;  TRAUMATIC BRAIN INJURY"
2000	"BACK TO THE FUTURE - 40 YEARS OF FIBRE EXAMINATIONS IN FORENSIC SCIENCE"	"GRIEVE MC"	""	"COMPUTERIZED DATA-BASE; MAIL-ORDER GARMENTS; TEXTILE FIBERS; SIMULATED; CONTACTS; ACRYLIC FIBERS; DATA-BANK; FREQUENCY; REDISTRIBUTION; FABRICS"	""	"CONFERENCE PAPER;  COURT;  CRIME;  FIBER;  FORENSIC IDENTIFICATION;  LABORATORY TEST;  MICROSCOPY;  POLICE;  SPECTROPHOTOMETER"	"CONFERENCE MATERIAL"	"GRIEVE, MC (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT, FORENS SCI INST, KT33,THAERSTR 11, D-65193 WIESBADEN, GERMANY; BUNDESKRIMINALAMT, FORENS SCI INST, D-65193 WIESBADEN, GERMANY"	"KT33, FORENSIC SCIENCE INSTITUTE, BUNDESKRIMINALAMT, THAERSTRASSE 11, 65193 WIESBADEN, GERMANY"	"SCIENCE AND JUSTICE"	"Scopus,WebOfScience"	"10.1016/S1355-0306(00)71950-2"	""
2017	"BALLISTIC DAMAGE"	"CARR DJ;MABBOTT AJ"	""	""	"BULLET WIPE;  BULLETS;  FIBRE DAMAGE;  FIREARMS;  STELLATE"	"BALLISTICS; BULLET WIPE;  BULLETS;  FIBRE DAMAGE;  FIREARMS;  STELLATE; HOSIERY MANUFACTURE"	"BOOK"	""	"CRANFIELD UNIVERSITY, SHRIVENHAM, UNITED KINGDOM"	"FORENSIC TEXTILE SCIENCE"	"Scopus"	"10.1016/B978-0-08-101872-9.00009-1"	"BULLET WIPE;  BULLETS;  FIBRE DAMAGE;  FIREARMS;  STELLATE"
2007	"BALLPOINT PEN INKS: THE QUANTITATIVE ANALYSIS OF INK SOLVENTS ON PAPER BY SOLID-PHASE MICROEXTRACTION"	"BRAZEAU L;GAUDREAU M"	"FORENSIC SCIENCE; QUESTIONED DOCUMENTS; BALLPOINT INKS; SOLID-PHASE; MICROEXTRACTION; SPME; GAS CHROMATOGRAPHY; MASS SPECTROMETRY; GC-MS"	"CALIBRATION; AIR"	"BALLPOINT INKS;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  GC-MS;  MASS SPECTROMETRY;  QUESTIONED DOCUMENTS;  SOLID-PHASE MICROEXTRACTION;  SPME"	"2 PHENOXYETHANOL;  INK;  VOLATILE AGENT; ARTICLE;  DOCUMENT EXAMINATION;  GAS CHROMATOGRAPHY;  MASS SPECTROMETRY;  METHODOLOGY;  PAPER;  PRIORITY JOURNAL;  QUANTITATIVE ANALYSIS;  SAMPLE;  SCALPEL;  SOLID PHASE MICROEXTRACTION"	"ARTICLE"	"BRAZEAU, L (CORRESPONDING AUTHOR), CANADA BORDERS SERV AGCY, LAB \& SCI SERV DIRECTORATE, 79 BENTLEY AVE, OTTAWA, ON K2E 6T7, CANADA; CANADA BORDERS SERV AGCY, LAB \& SCI SERV DIRECTORATE, OTTAWA, ON K2E 6T7, CANADA; CANADA BORDERS SERV AGCY, CHIEF FORENS SCI DIV, LAB \& SCI SERV DIRECTORATE, OTTAWA, ON K2E 6T7, CANADA"	"LABORATORY AND SCIENTIFIC SERVICES DIRECTORATE, CANADA BORDERS SERVICES AGENCY, 79 BENTLEY AVENUE, OTTAWA, ONT. K2E 6T7, CANADA;CHIEF FORENSIC SCIENCES DIVISION, LABORATORY AND SCIENTIFIC SERVICES DIRECTORATE, CANADA BORDERS SERVICES AGENCY, 79 BENTLEY AVENUE, OTTAWA, ONT. K2E 6T7, CANADA"	"JOURNAL OF FORENSIC SCIENCES"	"Scopus,WebOfScience"	"10.1111/j.1556-4029.2006.00299.x"	"FORENSIC SCIENCE; QUESTIONED DOCUMENTS; BALLPOINT INKS; SOLID-PHASE; MICROEXTRACTION; SPME; GAS CHROMATOGRAPHY; MASS SPECTROMETRY; GC-MS; BALLPOINT INKS;  FORENSIC SCIENCE;  GAS CHROMATOGRAPHY;  GC-MS;  MASS SPECTROMETRY;  QUESTIONED DOCUMENTS;  SOLID-PHASE MICROEXTRACTION;  SPME"
2016	"BARK AND WOOD STRUCTURE OF PRUNUS AFRICANA (ROSACEAE), AN IMPORTANT AFRICAN MEDICINAL PLANT"	"KOTINA EL;OSKOLSKI AA;TILNEY PM;VAN WYK BE"	"AFRICAN CHERRY; BARK ANATOMY; PHARMACOGNOSY; RED STINKWOOD; WOOD ANATOMY"	"BENIGN PROSTATIC HYPERPLASIA; PYGEUM-AFRICANUM; PIT MEMBRANES; ANATOMY;; CLASSIFICATION; TERMINOLOGY; PHYLOGENY; TREES"	"AFRICAN CHERRY;  BARK ANATOMY;  PHARMACOGNOSY;  RED STINKWOOD;  WOOD ANATOMY"	"ANATOMY;  BARK;  CELLS AND CELL COMPONENTS;  DRUG;  EVERGREEN TREE;  MEDICINAL PLANT;  PHLOEM;  PLANT EXTRACT;  WOOD;  XYLEM; AFRICA; PISCIDIA CARTHAGENENSIS;  PRUNUS;  PRUNUS AFRICANA;  PRUNUS DAVIDIANA;  PRUNUS PERSICA;  ROSACEAE"	"ARTICLE"	"VAN WYK, BE (CORRESPONDING AUTHOR), UNIV JOHANNESBURG, DEPT BOT \& PLANT BIOTECHNOL, POB 524, ZA-2006 JOHANNESBURG, SOUTH AFRICA; KOTINA, E L; OSKOLSKI, A A; TILNEY, P M; VAN WYK, B-E, UNIV JOHANNESBURG, DEPT BOT \& PLANT BIOTECHNOL, POB 524, ZA-2006 JOHANNESBURG, SOUTH AFRICA; OSKOLSKI, A A, RUSSIAN ACAD SCI, KOMAROV BOT INST, PROF POPOV STR 2, ST PETERSBURG 197376, RUSSIA"	"DEPARTMENT OF BOTANY AND PLANT BIOTECHNOLOGY, UNIVERSITY OF JOHANNESBURG, P.O. BOX 524, AUCKLAND PARK, JOHANNESBURG, 2006, SOUTH AFRICA;KOMAROV BOTANICAL INSTITUTE OF THE RUSSIAN ACADEMY OF SCIENCE, PROF. POPOV STR. 2, ST. PETERSBURG, 197376, RUSSIAN FEDERATION"	"SOUTH AFRICAN JOURNAL OF BOTANY"	"Scopus,WebOfScience"	"10.1016/j.sajb.2016.04.015"	"AFRICAN CHERRY; BARK ANATOMY; PHARMACOGNOSY; RED STINKWOOD; WOOD ANATOMY; AFRICAN CHERRY;  BARK ANATOMY;  PHARMACOGNOSY;  RED STINKWOOD;  WOOD ANATOMY"
2017	"BASAL SUBARACHNOID HEMORRHAGE BY RUPTURE OF ARTERIOVENOUS MALFORMATION AT THE CEREBELLOPONTINE ANGLE"	"TAKAYAMA M;KASHIWAGI M;HARA K;MATSUSUE A;WATERS B;IKEMATSU N;KUBO SI;TAKAYAMA M;KASHIWAGI M;HARA K;MATSUSUE A;WATERS B;IKEMATSU N;KUBO S-I"	"ARTERIOVENOUS MALFORMATION; BASAL SUBARACHNOID HEMORRHAGE; CEREBELLOPONTINE ANGLE; CEREBRAL ANEURYSM; FORENSIC AUTOPSY"	"INTRACRANIAL VASCULAR MALFORMATIONS; POSTERIOR-FOSSA; PREVALENCE; ADULTS"	"ARTERIOVENOUS MALFORMATION;  BASAL SUBARACHNOID HEMORRHAGE;  CEREBELLOPONTINE ANGLE;  CEREBRAL ANEURYSM;  FORENSIC AUTOPSY"	"ADULT;  ALCOHOL BLOOD LEVEL;  ANTERIOR INFERIOR CEREBELLAR ARTERY;  ARTERIOVENOUS MALFORMATION;  ARTICLE;  AUTOPSY;  BRAIN ARTERY ANEURYSM RUPTURE;  BRAIN VENTRICLE;  CASE REPORT;  CLINICAL ARTICLE;  ELASTIC FIBER;  HISTOPATHOLOGY;  HUMAN;  HUMAN TISSUE;  MALE;  MASS FRAGMENTOGRAPHY;  MIDDLE AGED;  PONS ANGLE;  PRIORITY JOURNAL;  SUBARACHNOID HEMORRHAGE;  SUBDURAL HEMATOMA;  URINALYSIS;  BRAIN ARTERIOVENOUS MALFORMATION;  CEREBELLUM DISEASE;  COMPLICATION;  DIFFERENTIAL DIAGNOSIS;  FATALITY;  INTRACRANIAL ANEURYSM;  PATHOLOGY; CEREBELLAR DISEASES;  CEREBELLOPONTINE ANGLE;  DIAGNOSIS; DIFFERENTIAL;  FATAL OUTCOME;  HUMANS;  INTRACRANIAL ARTERIOVENOUS MALFORMATIONS"	"ARTICLE"	"KUBO, S (CORRESPONDING AUTHOR), FUKUOKA UNIV, FAC MED, DEPT FORENS MED, JONAN KU, 7-45-1 NANAKUMA, FUKUOKA 8140180, JAPAN; TAKAYAMA, MIO; KASHIWAGI, MASAYUKI; HARA, KENJI; MATSUSUE, AYA; WATERS, BRIAN; IKEMATSU, NATSUKI; KUBO, SHIN-ICHI, FUKUOKA UNIV, FAC MED, DEPT FORENS MED, FUKUOKA, JAPAN"	"DEPARTMENT OF FORENSIC MEDICINE, FACULTY OF MEDICINE, FUKUOKA UNIVERSITY, FUKUOKA, JAPAN"	"NEUROPATHOLOGY"	"Scopus,WebOfScience"	"10.1111/neup.12383"	"ARTERIOVENOUS MALFORMATION; BASAL SUBARACHNOID HEMORRHAGE; CEREBELLOPONTINE ANGLE; CEREBRAL ANEURYSM; FORENSIC AUTOPSY; ARTERIOVENOUS MALFORMATION;  BASAL SUBARACHNOID HEMORRHAGE;  CEREBELLOPONTINE ANGLE;  CEREBRAL ANEURYSM;  FORENSIC AUTOPSY"
