Keywords	KeywordsCorrected	Acronyms
HOLLOW FIBER LIQUID PHASE MICROEXTRACTION	HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	(HF-LPME)
HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION	HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	(HF-LPME)
HOLLOW FIBER-LIQUID PHASE MICROEXTRACTION (HF-LPME)	HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	(HF-LPME)
HOLLOW FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	(HF-LPME)
HOLLOW-FIBER LIQUID-PHASE MICROEXTRACTION	HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	(HF-LPME)
HOLLOW-FIBER LIQUID-PHASE MICROEXTRACTION (HF-LPME)	HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	(HF-LPME)
HORSES	HORSE	HORSE
HPLC	HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY (HPLC)	(HPLC)
HUMANS	HUMAN	HUMAN
ICP OES	INDUCTIVELY COUPLE PLASMA/OPTICAL EMISSION SPECTROMETRY (ICP/OES)	(ICP/OES)
ICP/OES	INDUCTIVELY COUPLE PLASMA/OPTICAL EMISSION SPECTROMETRY (ICP/OES)	(ICP/OES)
ICP-AES	INDUCTIVELY COUPLED PLASMA ATOMIC EMISSION SPECTROMETRY (ICP-AES)	(ICP-AES)
ICP-MS	(ICP-MS)	(ICP-MS)
IGSR	INORGANIC GUNSHOT RESIDUE (IGSR)	INORGANIC GUNSHOT RESIDUE (IGSR)
IMAGES	IMAGE	IMAGE
IMS	ION MOBILITY SPECTROMETRY (IMS)	ION MOBILITY SPECTROMETRY (IMS)
INDUCTIVE COUPLED PLASMA	INDUCTIVELY COUPLED PLASMA (ICP)	INDUCTIVELY COUPLED PLASMA (ICP)
INDUCTIVELY COUPLED PLASMA	INDUCTIVELY COUPLED PLASMA (ICP)	INDUCTIVELY COUPLED PLASMA (ICP)
INDUCTIVELY COUPLED PLASMA ATOMIC EMISSION SPECTROMETER ANALYSIS	INDUCTIVELY COUPLED PLASMA ATOMIC EMISSION SPECTROMETRY (ICP-AES)	(ICP-AES)
INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY	(ICP-MS)	(ICP-MS)
INDUCTIVELY COUPLED PLASMA OPTICAL EMISSION SPECTROMETRY	INDUCTIVELY COUPLE PLASMA/OPTICAL EMISSION SPECTROMETRY (ICP/OES)	(ICP/OES)
INDUCTIVELY COUPLED PLASMA-MASS SPECTROMETRY	(ICP-MS)	(ICP-MS)
INFRARED	INFRARED (IR)	INFRARED (IR)
INFRARED (FT-IR) MICROSPECTROSCOPY	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
INFRARED MICROSPECTROMETRY	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INFRARED MICROSPECTROSCOPY	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INFRARED MICROSPECTROSCOPY FTIR	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
INFRARED MICROSPECTROSCOPY FT-IR	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
INFRARED MISCROSPECTROMETRY	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INFRARED SPECTRAL	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROMETRY	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROPHOTOMETRY	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INFRARED SPECTROSCOPY	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INFRA-RED SPECTROSCOPY	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INFRA-RED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
INJURIES	INJURY	INJURY
INKS	INK	INK
INORGANIC GSR	INORGANIC GUNSHOT RESIDUE (IGSR)	INORGANIC GUNSHOT RESIDUE (IGSR)
INORGANIC GSR (IGSR)	INORGANIC GUNSHOT RESIDUE (IGSR)	INORGANIC GUNSHOT RESIDUE (IGSR)
INORGANIC GUNSHOT RESIDUE	INORGANIC GUNSHOT RESIDUE (IGSR)	INORGANIC GUNSHOT RESIDUE (IGSR)
INTERPRTATION BAYSIENNE	BAYESIAN APPROACH	BAYESIAN APPROACH
ION BEAM ANALYSIS	ION BEAM ANALYSIS (IBA)	ION BEAM ANALYSIS (IBA)
ION MOBILITY SPECTROMETERS	ION MOBILITY SPECTROMETRY (IMS)	ION MOBILITY SPECTROMETRY (IMS)
ION MOBILITY SPECTROMETRY	ION MOBILITY SPECTROMETRY (IMS)	ION MOBILITY SPECTROMETRY (IMS)
IONIZATION SOURCES	IONIZATION SOURCE	IONIZATION SOURCE
IR SPECTROSCOPY	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
IRS	INFRARED SPECTROSCOPY (IR)	INFRARED SPECTROSCOPY (IR)
ISOTOPES	ISOTOPE	ISOTOPE
LABORATORIES	LABORATORY	LABORATORY
LANTHANIDES	LANTHANIDE	LANTHANIDE
LASER ABLATION INDUCTIVELY-COUPLED PLASMA MASS SPECTROMETRIES	LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY	LASER ABLATION INDUCTIVELY COUPLED PLASMA MASS SPECTROMETRY
LASER INDUCED BREAKDOWN SPECTROMETERS	LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)	(LIBS)
LASER INDUCED BREAKDOWN SPECTROSCOPY	LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)	(LIBS)
LASER-INDUCED BREAKDOWN SPECTROSCOPY	LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)	(LIBS)
LASERINDUCED BREAKDOWN SPECTROSCOPY (LIBS)	LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)	(LIBS)
LATENT FINGERPRINTS	LATENT FINGERPRINT	LATENT FINGERPRINT
LC?ÇôMS	LIQUID CHROMATOGRAPHY-MASS SPECTROSCOPY-MASS SPECTROSCOPY (LC-MS/MS)	(LC-MS/MS)
LC-MS	LIQUID CHROMATOGRAPHY-MASS SPECTROSCOPY (LC-MS)	(LC-MS)
LC-MS/MS	LIQUID CHROMATOGRAPHY-MASS SPECTROSCOPY-MASS SPECTROSCOPY (LC-MS/MS)	(LC-MS/MS)
LEAD	LEAD (PB)	LEAD (PB)
LEAD ISOTOPES	LEAD ISOTOPE	LEAD ISOTOPE
LEAD-FREE	LEAD-FREE AMMUNITION	LEAD-FREE AMMUNITION
LEADFREE AMMUNITION	LEAD-FREE AMMUNITION	LEAD-FREE AMMUNITION
LEAD-FREE CARTRIDGES	LEAD-FREE AMMUNITION	LEAD-FREE AMMUNITION
LEAD-FREE PRIMER RESIDUE	LEAD-FREE AMMUNITION	LEAD-FREE AMMUNITION
LEAD-FREE PRIMERS	LEAD-FREE AMMUNITION	LEAD-FREE AMMUNITION
LEADLESS	LEAD-FREE AMMUNITION	LEAD-FREE AMMUNITION
LEADLESS PRIMERS	LEAD-FREE AMMUNITION	LEAD-FREE AMMUNITION
LIBS	LASER-INDUCED BREAKDOWN SPECTROSCOPY (LIBS)	(LIBS)
LIKELIHOOD RATIO LR	LIKELIHOOD RATIO	LIKELIHOOD RATIO
LIKELIHOOD RATIOS	LIKELIHOOD RATIO	LIKELIHOOD RATIO
LIQUID CHROMATOGRAPHY	LIQUID CHROMATOGRAPHY (LC)	LIQUID CHROMATOGRAPHY (LC)
LUMINESCENT MARKERS	LUMINESCENT MARKER	LUMINESCENT MARKER
MASS SPECTROMETER	MASS SPECTROMETRY (MS)	MASS SPECTROMETRY (MS)
MASS SPECTROMETER (MS)	MASS SPECTROMETRY (MS)	MASS SPECTROMETRY (MS)
MASS SPECTROMETERS	MASS SPECTROMETRY (MS)	MASS SPECTROMETRY (MS)
MASS SPECTROMETRY	MASS SPECTROMETRY (MS)	MASS SPECTROMETRY (MS)
MASS-SPECTROMETRY IMAGING	MASS SPECTROMETRY IMAGING (MSI)	MASS SPECTROMETRY IMAGING (MSI)
MEATS	MEAT	MEAT
MERCURY (ELEMENT)	MERCURY	MERCURY
METAL ORGANIC FRAMEWORK	METAL ORGANIC FRAMEWORK (MOF)	METAL ORGANIC FRAMEWORK (MOF)
METAL-ORGANIC FRAMEWORK	METAL ORGANIC FRAMEWORK (MOF)	METAL ORGANIC FRAMEWORK (MOF)
METAL-ORGANIC FRAMEWORKS	METAL ORGANIC FRAMEWORK (MOF)	METAL ORGANIC FRAMEWORK (MOF)
METALORGANIC FRAMEWORKS (MOFS)	METAL ORGANIC FRAMEWORK (MOF)	METAL ORGANIC FRAMEWORK (MOF)
METALS	METAL	METAL
"METALS, HEAVY"	HEAVY METALS	HEAVY METALS
METHYL CENTRALITE	METHYL CENTRALITE (MC)	METHYL CENTRALITE (MC)
METHYLCENTRALITE	METHYL CENTRALITE (MC)	METHYL CENTRALITE (MC)
MICELLAR ELECTRO-KINETIC CHROMATOGRAPHY	MICELLAR ELECTROKINETIC CHROMATOGRAPHY	MICELLAR ELECTROKINETIC CHROMATOGRAPHY
MICELLE	MICELLES	MICELLES
MICRO RAMAN SPECTROSCOPY	RAMAN	RAMAN
MICROCT	MICRO-CT	MICRO-CT
MICROELECTRODES	MICROELECTRODE	MICROELECTRODE
"MICROSCOPES, ELECTRON"	ELECTRON MICROSCOPY	ELECTRON MICROSCOPY
"MICROSCOPY, ACOUSTIC"	ACOUSTIC MICROSCOPY	ACOUSTIC MICROSCOPY
"MICROSCOPY, CONFOCAL"	CONFOCAL MICROSCOPY	CONFOCAL MICROSCOPY
"MICROSCOPY, ELECTRON"	ELECTRON MICROSCOPY	ELECTRON MICROSCOPY
"MICROSCOPY, ELECTRON, SCANNING"	SCANNING ELECTRON MICROSCOPY (SEM)	(SEM)
"MICROSCOPY, ELECTRON, SCANNING"	ELECTRON MICROSCOPY	ELECTRON MICROSCOPY
"MICROSCOPY, ELECTRON, TRANSMISSION"	ELECTRON MICROSCOPY	ELECTRON MICROSCOPY
"MICROSCOPY, FLUORESCENCE"	FLUORESCENCE MICROSCOPY	FLUORESCENCE MICROSCOPY
MICROSPECTROPHOTOMETER	MICROSPECTROPHOTOMETRY (MSP)	MICROSPECTROPHOTOMETRY (MSP)
MICROSPECTROPHOTOMETRY	MICROSPECTROPHOTOMETRY (MSP)	MICROSPECTROPHOTOMETRY (MSP)
MIDDLE AGED	MIDDLE AGE	MIDDLE AGE
MOFS	METAL ORGANIC FRAMEWORK (MOF)	METAL ORGANIC FRAMEWORK (MOF)
MSP	MICROSPECTROPHOTOMETRY (MSP)	MICROSPECTROPHOTOMETRY (MSP)
MULTIVARIATE STATISTICAL METHODS	MULTIVARIATE STATISTICAL ANALYSIS	MULTIVARIATE STATISTICAL ANALYSIS
"N,N?Ç? -DIPHENYL-N,N?Ç? -DIETHYLUREA (ETHYL CENTRALITE)"	"N,N'-DIPHENYL-N,N'- DIETHYLUREA (ETHYL CENTRALITE)"	(ETHYL CENTRALITE)
NAA	NEUTRON ACTIVATION ANALYSIS (NAA)	NEUTRON ACTIVATION ANALYSIS (NAA)
NAPHTHALENES	NAPHTHALENE	NAPHTHALENE
NEUTRON ACTIVATION ANALYSIS	NEUTRON ACTIVATION ANALYSIS (NAA)	NEUTRON ACTIVATION ANALYSIS (NAA)
NOSE HAIRS	NOSE HAIR	NOSE HAIR
NUCLEAR MAGNETIC RESONANCE	NUCLEAR MAGNETIC RESONANCE (NMR)	NUCLEAR MAGNETIC RESONANCE (NMR)
NUCLEIC ACIDS	NUCLEIC ACID	NUCLEIC ACID
NYLON FIBER	NYLON	NYLON
NYLONS	NYLON	NYLON
OCCUPATIONS	OCCUPATION	OCCUPATION
OGSR	ORGANIC GUNSHOT RESIDUE (OGSR)	ORGANIC GUNSHOT RESIDUE (OGSR)
ORGANIC GUN SHOT RESIDUE (OGSR)	ORGANIC GUNSHOT RESIDUE (OGSR)	ORGANIC GUNSHOT RESIDUE (OGSR)
ORGANIC GUNSHOT RESIDUE	ORGANIC GUNSHOT RESIDUE (OGSR)	ORGANIC GUNSHOT RESIDUE (OGSR)
ORGANIC GUNSHOT RESIDUES	ORGANIC GUNSHOT RESIDUE (OGSR)	ORGANIC GUNSHOT RESIDUE (OGSR)
OXIDES	OXIDE	OXIDE
PAINTS	PAINT	PAINT
PARTICLE INDUCED X RAY EMISSION	PARTICLE INDUCED X-RAY EMISSION (PIXE)	(PIXE)
PARTICLE INDUCED X-RAY EMISSION	PARTICLE INDUCED X-RAY EMISSION (PIXE)	(PIXE)
PATTERNS	PATTERN	PATTERN
PHOSPHATES	PHOSPHATE	PHOSPHATE
PIXE	PARTICLE INDUCED X-RAY EMISSION (PIXE)	(PIXE)
PIXE MEASUREMENTS	PARTICLE INDUCED X-RAY EMISSION (PIXE)	(PIXE)
POLARIZED CONFOCAL RAMAN MICROSPECTROSCOPY	RAMAN	RAMAN
POLARIZED LIGHT	POLARIZED LIGHT MICROSCOPY	POLARIZED LIGHT MICROSCOPY
POLARIZING LIGHT MICROSCOPE	POLARIZED LIGHT MICROSCOPY	POLARIZED LIGHT MICROSCOPY
POLYESTER (TERENE)	POLYESTER	POLYESTER
POLYESTER FIBER	POLYESTER	POLYESTER
POLYESTER FIBERS	POLYESTER	POLYESTER
POLYESTER FIBRES	POLYESTER	POLYESTER
POLYESTERS	POLYESTER	POLYESTER
POLYETHYLENE TEREPHTHALATE	POLYETHYLENE	POLYETHYLENE
POLYETHYLENE TEREPHTHALATE (PET)	POLYETHYLENE	POLYETHYLENE
POLYMER VARIATION	POLYMER	POLYMER
POLYMERS	POLYMER	POLYMER
POLYPRO PYLENE	POLYPROPYLENE	POLYPROPYLENE
POPULATION STUDIES	POPULATION STUDY	POPULATION STUDY
POST MORTEM INTERVALS	POST MORTEM INTERVAL (PMI)	POST MORTEM INTERVAL (PMI)
POSTMORTEM CHANGE	POSTMORTEM CHANGES	POSTMORTEM CHANGES
POWDER PATTERNS	POWDER PATTERN	POWDER PATTERN
POWDER TATTOOING	POWDER TATTOO	POWDER TATTOO
POWDERS	POWDER	POWDER
PRIMERS	PRIMER	PRIMER
PRINCIPAL COMPONENT	PRINCIPAL COMPONENT ANALYSIS (PCA)	(PCA)
PRINCIPAL COMPONENT ANALYSIS	PRINCIPAL COMPONENT ANALYSIS (PCA)	(PCA)
PROCEDURE	PROCEDURES	PROCEDURES
PROPELLANTS	PROPELLANT	PROPELLANT
PYROTECHNIC REACTION RESIDUES	PYROTECHNIC REACTION RESIDUE	PYROTECHNIC REACTION RESIDUE
QUESTIONNAIRE	QUESTIONNAIRES	QUESTIONNAIRES
RAMAN IMAGING	RAMAN	RAMAN
"RAMAN MAPPING TECHNOLOGIES, AND MINIMUM FIBRE DIAMETER"	RAMAN	RAMAN
RAMAN MICROSCOPE	RAMAN	RAMAN
RAMAN MICROSCOPICAL	RAMAN	RAMAN
RAMAN MICROSCOPICAL ANALYSIS	RAMAN	RAMAN
RAMAN MICROSCOPY	RAMAN	RAMAN
RAMAN MICROSPECTROSCOPY	RAMAN	RAMAN
RAMAN SCATTERING	RAMAN	RAMAN
RAMAN SPECTRAL IMAGING	RAMAN	RAMAN
RAMAN SPECTROMETRY	RAMAN	RAMAN
RAMAN SPECTROSCOPY	RAMAN	RAMAN
RAMAN TECHNIQUES	RAMAN	RAMAN
RANK CORRELATION COEFFICIENTS: R-SPEARMAN AND ?ä-KENDALL	RANK CORRELATION COEFFICIENTS: R-SPEARMAN AND ??-KENDALL	RANK CORRELATION COEFFICIENTS: R-SPEARMAN AND ??-KENDALL
RATS	RAT	RAT
REACTION BAND-LENGTH ??PAD	REACTION BAND-LENGTH PAD	REACTION BAND-LENGTH PAD
REACTIVE DYES	REACTIVE DYE	REACTIVE DYE
RED COTTON	COTTON	COTTON
REVIEW [PUBLICATION TYPE]	REVIEW	REVIEW
REVOLVERS	REVOLVER	REVOLVER
RIB	RIBS	RIBS
SCANNING ACOUSTIC MICROSCOPY	SCANNING ACOUSTIC MICROSCOPY (SAM)	(SAM)
SCANNING ELECTRO MICROSCOPY-ENERGY DISPERSIVE X-RAY ANALYSIS	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTROMICROSCOPY ENERGY DISPERSIVE X-RAY ANALYSIS	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON	SCANNING ELECTRON MICROSCOPY (SEM)	(SEM)
SCANNING ELECTRON MICROSCOPE	SCANNING ELECTRON MICROSCOPY (SEM)	(SEM)
SCANNING ELECTRON MICROSCOPE (SEM)	SCANNING ELECTRON MICROSCOPY (SEM)	(SEM)
SCANNING ELECTRON MICROSCOPE/ENERGY DISPERSIVE X-RAY ANALYSIS	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPE-ENERGY DISPERSIVE X-RAY SPECTROMETER	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPES	SCANNING ELECTRON MICROSCOPY (SEM)	(SEM)
SCANNING ELECTRON MICROSCOPY	SCANNING ELECTRON MICROSCOPY (SEM)	(SEM)
SCANNING ELECTRON MICROSCOPY AND ENERGY DISPERSIVE X-RAY SPECTROMETRY	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY AND ENERGY-DISPERSIVE X-RAY ANALYSIS (SEM-EDX)	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY ENERGY DISPERSIVE X-RAY SPECTROSCOPY	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY/ENERGY DISPERSIVE SPECTROSCOPY	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY/ENERGY DISPERSIVE X-RAY ANALYSIS	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY/ENERGY DISPERSIVE X-RAY SPECTROMETRY	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY/ENERGY DISPERSIVE X-RAY SPECTROSCOPY (SEM/EDX)	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY/ENERGY-DISPERSIVE SPECTROMETRY	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY/ENERGY-DISPERSIVE SPECTROMETRY (SEM/EDS)	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY/ENERGY-DISPERSIVE SPECTROSCOPY	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY-ENERGY DISPERSIVE X-RAY ANALYSIS	(SEM-EDS)	(SEM-EDS)
SCANNING ELECTRON MICROSCOPY-ENERGY-DISPERSIVE X-RAY DETECTOR (SEM-EDX)	(SEM-EDS)	(SEM-EDS)
SCHU?ƒ	SHOOTING	SHOOTING
"SCHU?ƒENTFERNUNG, TEXTILVER?ñNDERUNGEN"	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
SCHU?ƒENTFERNUNGSBESTIMMUNG	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
SCIENTISTS	SCIENTIST	SCIENTIST
SECONDARY ION MASS SPECTROMETRY	SECONDARY ION MASS SPECTROMETRY (SIMS)	(SIMS)
SELENIUM OXIDES	SELENIUM OXIDE	SELENIUM OXIDE
SEM	SCANNING ELECTRON MICROSCOPY (SEM)	(SEM)
SEM + EDS	(SEM-EDS)	(SEM-EDS)
SEM ANALYSIS	SCANNING ELECTRON MICROSCOPY (SEM)	(SEM)
SEM/EDS	(SEM-EDS)	(SEM-EDS)
SEM/EDS ANALYSIS	(SEM-EDS)	(SEM-EDS)
SEM/EDX	(SEM-EDS)	(SEM-EDS)
SEM/EDX ANALYSIS	(SEM-EDS)	(SEM-EDS)
SEM?ÇôEDX	(SEM-EDS)	(SEM-EDS)
SEM-EDS	(SEM-EDS)	(SEM-EDS)
SEM-EDS EXAMINATION	(SEM-EDS)	(SEM-EDS)
SEM-EDX	(SEM-EDS)	(SEM-EDS)
SEM-EDX ANALYSIS	(SEM-EDS)	(SEM-EDS)
SEM-EDXA	(SEM-EDS)	(SEM-EDS)
SENSITIVITY ANALYSES	SENSITIVITY ANALYSIS	SENSITIVITY ANALYSIS
SHOOTING DISTANCE	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
SHOOTING DISTANCE ESTIMATION	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
SHOOTING-DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION	SHOOTING DISTANCE DETERMINATION
SILICONES	SILICONE	SILICONE
SIMS	SECONDARY ION MASS SPECTROMETRY (SIMS)	(SIMS)
SINGLE FIBER	SINGLE FIBRE	SINGLE FIBRE
SINGLE FIBERS	SINGLE FIBRE	SINGLE FIBRE
SINGLE FIBRES	SINGLE FIBRE	SINGLE FIBRE
SODIUM RHODIZONATE	SODIUM RHODIZONATE TEST (SRT)	SODIUM RHODIZONATE TEST (SRT)
SODIUM RHODIZONATE TEST	SODIUM RHODIZONATE TEST (SRT)	SODIUM RHODIZONATE TEST (SRT)
SOLID PHASE EXTRACTION	SOLID PHASE EXTRACTION (SPE)	SOLID PHASE EXTRACTION (SPE)
SOLID PHASE MICRO EXTRACTION	SOLID-PHASE MICROEXTRACTION (SPME)	(SPME)
SOLID PHASE MICRO EXTRACTION (SPME)	SOLID-PHASE MICROEXTRACTION (SPME)	(SPME)
SOLID PHASE MICROEXTRACTION	SOLID PHASE MICRO-EXTRACTION (SPME)	(SPME)
SOLID PHASE MICROEXTRACTION	SOLID-PHASE MICROEXTRACTION (SPME)	(SPME)
SOLID PHASE MICROEXTRACTION (SPME)	SOLID-PHASE MICROEXTRACTION (SPME)	(SPME)
SOLIDE PHASE MICROEXTRACTION	SOLID-PHASE MICROEXTRACTION (SPME)	(SPME)
SOLID-PHASE MICROEXTRACTION	SOLID PHASE MICRO-EXTRACTION (SPME)	(SPME)
SOLID-PHASE MICROEXTRACTION	SOLID-PHASE MICROEXTRACTION (SPME)	(SPME)
SOLID-PHASE MICRO-EXTRACTION	SOLID-PHASE MICROEXTRACTION (SPME)	(SPME)
SPECTROMETER	SPECTROMETRY	SPECTROMETRY
SPECTROMETERS	SPECTROMETRY	SPECTROMETRY
"SPECTROMETRY, FLUORESCENCE"	FLUORESCENCE SPECTROSCOPY	FLUORESCENCE SPECTROSCOPY
"SPECTROMETRY, MASS, SECONDARY ION"	SECONDARY ION MASS SPECTROMETRY (SIMS)	(SIMS)
"SPECTROMETRY, X-RAY EMISSION"	X-RAY EMISSION SPECTROMETRY	X-RAY EMISSION SPECTROMETRY
"SPECTROPHOTOMETRY, ATOMIC"	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
"SPECTROPHOTOMETRY, ATOMIC ABSORPTION"	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
"SPECTROPHOTOMETRY, ULTRAVIOLET"	ULTRAVIOLET SPECTROPHOTOMETRY	ULTRAVIOLET SPECTROPHOTOMETRY
"SPECTROSCOPY, ABSORPTION"	ABSORPTION SPECTROSCOPY	ABSORPTION SPECTROSCOPY
"SPECTROSCOPY, FOURIER TRANSFORM INFRARED"	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
"SPECTROSCOPY, FOURIER TRANSFORM INFRARED"	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	(FT-IR)
"SPECTROSCOPY, X-RAY"	X-RAY SPECTROSCOPY	X-RAY SPECTROSCOPY
"SPECTRUM ANALYSIS, RAMAN"	RAMAN	RAMAN
SPENT CARTRIDGES	SPENT CARTRIDGE	SPENT CARTRIDGE
SPME	SOLID PHASE MICRO-EXTRACTION (SPME)	(SPME)
SPME	SOLID-PHASE MICROEXTRACTION (SPME)	(SPME)
SPORTS	SPORT	SPORT
STARTER?ÇÖS PISTOL	STARTER PISTOL	STARTER PISTOL
STEREOMICROSCOPY	STEREO MICROSCOPE	STEREO MICROSCOPE
STUBS	STUB	STUB
SUB MICRON	SUB-MICRON	SUB-MICRON
SUICIDES	SUICIDE	SUICIDE
SUPPORT VECTOR MACHINES	SUPPORT VECTOR MACHINE	SUPPORT VECTOR MACHINE
SURFACE ENHANCED RAMAN SPECTROSCOPY	RAMAN	RAMAN
SURFACE PROPERTIES	SURFACE PROPERTY	SURFACE PROPERTY
SURFACE-ENHANCED RAMAN SPECTROSCOPY	RAMAN	RAMAN
SWABS	SWAB	SWAB
SWEAT GLANDS	SWEAT GLAND	SWEAT GLAND
SYNCHROTRONS	SYNCHROTRON	SYNCHROTRON
SYNTHETIC FIBER	SYNTHETIC FIBRE	SYNTHETIC FIBRE
SYNTHETIC FIBERS	SYNTHETIC FIBRE	SYNTHETIC FIBRE
TAPE LIFT KIT	TAPE LIFT	TAPE LIFT
TAPE-LIFT	TAPE LIFT	TAPE LIFT
TAPINGS	TAPING	TAPING
TARGET FIBER STUDIES	TARGET FIBRE STUDY	TARGET FIBRE STUDY
TARGET FIBRE STUDIES	TARGET FIBRE STUDY	TARGET FIBRE STUDY
TATTOO	TATTOOING	TATTOOING
TEXTILE DYE	DYE	DYE
TEXTILE DYES	DYE	DYE
TEXTILE FIBER	TEXTILE FIBRE	TEXTILE FIBRE
TEXTILE FIBERS	TEXTILE FIBRE	TEXTILE FIBRE
TEXTILES	TEXTILE	TEXTILE
"TEXTILVER?ñNDERUNGEN, PULVERGASE"	"TEXTILVER NDERUNGEN, PULVERGASE"	"TEXTILVER NDERUNGEN, PULVERGASE"
THIN FILMS	THIN FILM	THIN FILM
THIN LAYER	THIN-LAYER CHROMATOGRAPHY (TLC)	THIN-LAYER CHROMATOGRAPHY (TLC)
THIN LAYER CHROMATOGRAPHY	THIN LAYER CHROMATOGRAPHY (TLC)	THIN LAYER CHROMATOGRAPHY (TLC)
THIN LAYER CHROMATOGRAPHY	THIN-LAYER CHROMATOGRAPHY (TLC)	THIN-LAYER CHROMATOGRAPHY (TLC)
THIN-LAYER	THIN-LAYER CHROMATOGRAPHY (TLC)	THIN-LAYER CHROMATOGRAPHY (TLC)
THIN-LAYER CHROMATOGRAPHY	THIN-LAYER CHROMATOGRAPHY (TLC)	THIN-LAYER CHROMATOGRAPHY (TLC)
TIME FACTOR	TIME FACTORS	TIME FACTORS
TIME OF FLIGHT	TIME OF FLIGHT (TOF)	TIME OF FLIGHT (TOF)
TIME OF FLIGHT MASS SPECTROMETRY	TIME-OF-FLIGHT SECONDARY ION MASS SPECTROMETRY (TOF-SIMS)	(TOF-SIMS)
TIME OF FLIGHT SECONDARY ION MASS SPECTROMETRY	TIME-OF-FLIGHT SECONDARY ION MASS SPECTROMETRY (TOF-SIMS)	(TOF-SIMS)
TIME-OF-FLIGHT SECONDARY ION MASS SPECTROMETRY	TIME-OF-FLIGHT SECONDARY ION MASS SPECTROMETRY (TOF-SIMS)	(TOF-SIMS)
TISSUES	TISSUE	TISSUE
TLC	THIN-LAYER CHROMATOGRAPHY (TLC)	THIN-LAYER CHROMATOGRAPHY (TLC)
TOF SIMS	TIME-OF-FLIGHT SECONDARY ION MASS SPECTROMETRY (TOF-SIMS)	(TOF-SIMS)
