"TI"	"PY"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"DE"
"CLASSIFYING SINGLE FIBERS BASED ON FLUORINATED SURFACE TREATMENTS"	2019	"DOLAN J;BLACKLEDGE RD;JORABCHI K;DOLAN MJ"	"ELEMENTAL MASS SPECTROMETRY; FORENSIC; FIBER COATING; FLUORINE"	"COLORED TEXTILE FIBERS; COTTON; POPULATION; IONIZATION; SUBSTANCES;; WATER"	"ELEMENTAL MASS SPECTROMETRY;  FIBER COATING;  FLUORINE;  FORENSIC"	"CLUSTER ANALYSIS;COATINGS;FLUORINE;FLUORINE CONTAINING POLYMERS;FORENSIC SCIENCE;GAS CHROMATOGRAPHY;HIERARCHICAL SYSTEMS;IONIZATION OF GASES;MASS SPECTROMETRY;SURFACE TREATMENT;ANALYTICAL CHALLENGE;FIBER COATINGS;FIBER SURFACE MODIFICATIONS;FLUOROPOLYMER COATING;FORENSIC;HIERARCHICAL CLUSTER ANALYSIS;PYROLYSIS-GAS CHROMATOGRAPHY-MASS SPECTROMETRIES;WATER-REPELLENT PROPERTIES;FIBERS"	"JORABCHI, K (CORRESPONDING AUTHOR), GEORGETOWN UNIV, DEPT CHEM, WASHINGTON, DC 20057 USA; DOLAN, MICHAEL J, JR; BLACKLEDGE, ROBERT D; JORABCHI, KAVEH, GEORGETOWN UNIV, DEPT CHEM, WASHINGTON, DC 20057 USA"	"DEPARTMENT OF CHEMISTRY,GEORGETOWN UNIVERSITY,WASHINGTON,DC,UNITED STATES; SAN DIEGO,UNITED STATES"	"DEPARTMENT OF CHEMISTRY,GEORGETOWN UNIVERSITY,WASHINGTON,DC,UNITED STATES; SAN DIEGO,UNITED STATES"	"10.1007/s00216-019-01596-6"	"ANALYTICAL AND BIOANALYTICAL CHEMISTRY"	"ARTICLE"	"Scopus,WebOfScience"	"ELEMENTAL MASS SPECTROMETRY;FORENSIC;FIBER COATING;FLUORINE"
"CLINICAL AND MEDICO-LEGAL CONSEQUENCES INDUCED BY DIFFUSE AXONAL INJURIES CONSECUTIVE TO CRANIO-CEREBRAL TRAUMA"	1997	"MATEI V;LUTA V;ENACHE A"	""	""	"CRANIO-CEREBRAL TRAUMA;  DIFFUSE AXONAL INJURY (DAI);  TRAUMATIC COMA"	"ARTICLE;AUTOPSY;BRAIN EDEMA;HEAD INJURY;HISTOLOGY;HUMAN;HUMAN TISSUE;MEDICOLEGAL ASPECT;NERVE FIBER TRANSECTION;NERVE INJURY;NEUROSURGERY"	NA	"DEPARTMENT OF LEGAL MEDICINE,UNIV. OF MED. AND PHARMACY TIMISOARA,TIMISOARA,ROMANIA"	"DEPARTMENT OF LEGAL MEDICINE,UNIV. OF MED. AND PHARMACY TIMISOARA,TIMISOARA,ROMANIA"	""	"ROMANIAN JOURNAL OF LEGAL MEDICINE"	"ARTICLE"	"Scopus"	";CRANIO-CEREBRAL TRAUMA;DIFFUSE AXONAL INJURY (DAI);TRAUMATIC COMA"
"CLINICAL AND MORPHOLOGIC FEATURES OF LIPOMATOUS HYPERTROPHY (''MASSIVE FATTY DEPOSITS'') OF THE INTERATRIAL SEPTUM"	1996	"GAY JD;GUILEYARDO JM;TOWNSEND-PARCHMAN JK;ROSS K;TOWNSENDPARCHMAN JK"	"LIPOMATOUS HYPERTROPHY; ADIPOSE TISSUE; FETAL FAT; INTERATRIAL SEPTUM; FOSSA OVALIS; ARRHYTHMIAS"	"ATRIAL SEPTUM; ECHOCARDIOGRAPHY; DIAGNOSIS"	"ADIPOSE TISSUE;  ARRHYTHMIAS;  FETAL FAT;  FOSSA OVALIS;  INTERATRIAL SEPTUM;  LIPOMATOUS HYPERTROPHY"	"ADIPOSE TISSUE;ADULT;AGED;ARTICLE;AUTOPSY;CAUSE OF DEATH;CLINICAL ARTICLE;CORONARY ARTERY ATHEROSCLEROSIS;FEMALE;HEART ATRIUM SEPTUM;HUMAN;HUMAN TISSUE;HYPERTROPHY;MALE;OBESITY;CARDIOMEGALY;CARDIOMYOPATHIES;HEART ATRIA;HEART SEPTUM;HUMANS;MIDDLE AGED"	"GAY, JD (CORRESPONDING AUTHOR), SOUTHWESTERN INST FORENS SCI, POB 35728, 5230 MED CTR DR, DALLAS, TX 75235 USA"	"SOUTHWESTERN INST. OF FORENSIC SCI.,UNIVERSITY OF TEXAS,SOUTHWESTERN MED. CENTER AT DALLAS,DALLAS,TX,UNITED STATES; SOUTHWESTERN INST. FORENSIC SCI. D.,5230 MEDICAL CENTER DR.,TX 75235-0728,UNITED STATES"	"SOUTHWESTERN INST. OF FORENSIC SCI.,UNIVERSITY OF TEXAS,SOUTHWESTERN MED. CENTER AT DALLAS,DALLAS,TX,UNITED STATES; SOUTHWESTERN INST. FORENSIC SCI. D.,5230 MEDICAL CENTER DR.,TX 75235-0728,UNITED STATES"	"10.1097/00000433-199603000-00007"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"ARTICLE"	"Scopus,WebOfScience"	"LIPOMATOUS HYPERTROPHY;ADIPOSE TISSUE;FETAL FAT;INTERATRIAL SEPTUM;FOSSA OVALIS;ARRHYTHMIAS"
"CLINICOPATHOLOGICAL STUDIES OF CRANIOCEREBRAL GUNSHOT INJURIES"	1997	"SHIMURA T;TERAMOTO A;TODA S;YAMAMOTO Y;MUKAI T;ENDO T;NAKAMURA T;TAKATORI T"	""	""	"AUTOPSY CASE;  CRANIOCEREBRAL;  CT SCAN;  GUN SHOT WOUND;  HISTOPATHOLOGY"	"ADOLESCENT;ADULT;AGED;ARTICLE;AUTOPSY;BRAIN INJURY;CLINICAL ARTICLE;COMPUTER ASSISTED TOMOGRAPHY;FORENSIC PATHOLOGY;GUNSHOT INJURY;HISTOPATHOLOGY;HOMICIDE;HUMAN;HUMAN TISSUE;MALE;SUICIDE;BRAIN;BRAIN INJURIES;HUMANS;MIDDLE AGED;TOMOGRAPHY;X-RAY COMPUTED;WOUNDS;GUNSHOT"	NA	"DEPARTMENT OF NEUROSURGERY,NIPPON MEDICAL SCHOOL,JAPAN; CRITICAL CARE MEDICINE,JAPAN; DEPARTMENT OF LEGAL MEDICINE,TOKYO MEDICAL COLLEGE,JAPAN; TOKYO METROPOL. GOVT. MED. E.,FACULTY OF MEDICINE,UNIVERSITY OF TOKYO,JAPAN"	"DEPARTMENT OF NEUROSURGERY,NIPPON MEDICAL SCHOOL,JAPAN; CRITICAL CARE MEDICINE,JAPAN; DEPARTMENT OF LEGAL MEDICINE,TOKYO MEDICAL COLLEGE,JAPAN; TOKYO METROPOL. GOVT. MED. E.,FACULTY OF MEDICINE,UNIVERSITY OF TOKYO,JAPAN"	""	"NEUROLOGICAL SURGERY"	"ARTICLE"	"Scopus"	";AUTOPSY CASE;CRANIOCEREBRAL;CT SCAN;GUN SHOT WOUND;HISTOPATHOLOGY"
"CLOTH(ING) FOR THE DEAD: CASE STUDY OF THREE DESIGNERS' GREEN BURIAL PRACTICES"	2017	"MICHEL GM;LEE YA"	"BURIAL CLOTHING; CRADLE-TO-CRADLE; FIBERS; GREEN BURIAL; SUSTAINABILITY"	"BIODEGRADATION; DEGRADATION; FABRICS"	"BURIAL CLOTHING;  CRADLE-TO-CRADLE;  FIBERS;  GREEN BURIAL;  SUSTAINABILITY"	"NA"	"MICHEL, GM (CORRESPONDING AUTHOR), IOWA STATE UNIV, DEPT APPAREL EVENTS \& HOSPITALITY MANAGEMENT, 2302 OSBORN DR, AMES, IA 50011 USA; MICHEL, GWENDOLYN M; LEE, YOUNG-A, IOWA STATE UNIV, DEPT APPAREL EVENTS \& HOSPITALITY MANAGEMENT, 2302 OSBORN DR, AMES, IA 50011 USA"	"DEPARTMENT OF APPAREL,EVENTS,AND HOSPITALITY MANAGEMENT,IOWA STATE UNIVERSITY,2302 OSBORN DRIVE,AMES,IA  50011-1078,UNITED STATES"	"DEPARTMENT OF APPAREL,EVENTS,AND HOSPITALITY MANAGEMENT,IOWA STATE UNIVERSITY,2302 OSBORN DRIVE,AMES,IA  50011-1078,UNITED STATES"	"10.1186/s40691-017-0088-y"	"FASHION AND TEXTILES"	"ARTICLE"	"Scopus,WebOfScience"	"BURIAL CLOTHING;CRADLE-TO-CRADLE;FIBERS;GREEN BURIAL;SUSTAINABILITY"
"CLOTHING SET ALIGHT"	1986	"ORVING E"	""	""	""	"ADULT;ARSON;BURN;CENTRAL NERVOUS SYSTEM;CLASSIFICATION;CLINICAL ARTICLE;CLOTHING;CONTROLLED STUDY;COTTON;DIAGNOSIS;ECONOMIC ASPECT;EDUCATION;EPIDEMIOLOGY;EXPLOSION;FATALITY;FIBER;FIRE;FORENSIC MEDICINE;GEOGRAPHIC DISTRIBUTION;HUMAN;INJURY;LEGAL ASPECT;ORGANIZATION AND MANAGEMENT;PRELIMINARY COMMUNICATION;PREVENTION;TEXTILE"	NA	"PRODUKTKONTROLLAVDELINGEN,STATENS FORURENSNINGSTILSYN,POSTBOKS 8100 DEP.,0032 OSLO 1,NORWAY"	"PRODUKTKONTROLLAVDELINGEN,STATENS FORURENSNINGSTILSYN,POSTBOKS 8100 DEP.,0032 OSLO 1,NORWAY"	""	"TIDSSKRIFT FOR DEN NORSKE LAEGEFORENING"	"ARTICLE"	"Scopus"	""
"CLUES AT THE SCENE OF THE CRIME"	2008	"JACOBY M"	""	""	""	"NA"	NA	"C AND EN CHICAGO"	"C AND EN CHICAGO"	""	"CHEMICAL AND ENGINEERING NEWS"	"ARTICLE"	"Scopus"	""
"CLUES IN PEDESTRIAN-VEHICLE COLLISIONS AND THEIR SIGNIFICANCE FOR RECONSTRUCTION OF THE ACCIDENT [SPURENBEFUNDE BEI FUGNGER-FAHRZEUGKOLLISIONEN UND IHRE BEDEUTUNG FR DIE UNFALLREKONSTRUKTION]"	1983	"METTER D"	""	""	"CLOTHES MARKS; VEHICLE MARKS;  PEDESTRIAN ACCIDENTS; CLUES;  TRACES OF RUBBED-OFF PAINT"	"CLINICAL ARTICLE;DIAGNOSIS;FATALITY;FORENSIC MEDICINE;HUMAN;INJURY;PEDESTRIAN;RECONSTRUCTION;TRAFFIC ACCIDENT;VEHICLE;ARTICLE;CAR;CLOTHING;TEXTILE;PAINT;ACCIDENTS;TRAFFIC;AUTOMOBILES;ENGLISH ABSTRACT;LACQUER;TEXTILES"	NA	"INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT WRZBURG,VERSBACHER STR. 3,WRZBURG,D-8700,GERMANY"	"INSTITUT FR RECHTSMEDIZIN DER UNIVERSITT WRZBURG,VERSBACHER STR. 3,WRZBURG,D-8700,GERMANY"	"10.1007/BF01882445"	"ZEITSCHRIFT FR RECHTSMEDIZIN"	"ARTICLE"	"Scopus"	";CLOTHES MARKS;VEHICLE MARKS;PEDESTRIAN ACCIDENTS;CLUES;TRACES OF RUBBED-OFF PAINT"
"COLLAGEN FIBRIL SIZE AND CRIMP MORPHOLOGY IN RUPTURED AND INTACT ACHILLES TENDONS"	2002	"MAGNUSSON SP;QVORTRUP K;LARSEN JO;ROSAGER S;HANSON P;AAGAARD P;KROGSGAARD M;KJAER M"	"FIBRIL DIAMETER; ELECTRON MICROSCOPY; CRIMP ANGLE; COLLAGEN MOLECULE"	"DIGITAL FLEXOR TENDON; MECHANICAL-PROPERTIES; III COLLAGEN; EXERCISE;; ULTRASTRUCTURE; POPULATIONS; TISSUE; AGE"	"COLLAGEN MOLECULE;  CRIMP ANGLE;  ELECTRON MICROSCOPY;  FIBRIL DIAMETER"	"COLLAGEN FIBER;COLLAGEN FIBRIL;FIBRIL ASSOCIATED COLLAGEN;FIBRIL ASSOCIATED COLLAGENS;ACHILLES TENDON;ACHILLES TENDON RUPTURE;ADULT;ARTICLE;BIOPSY;CELL SIZE;CELL STRUCTURE;CLINICAL ARTICLE;CONTROLLED STUDY;ELECTRON MICROSCOPY;FEMALE;HUMAN;HUMAN TISSUE;MALE;PRIORITY JOURNAL;CHEMISTRY;CYTOLOGY;METABOLISM;MIDDLE AGED;PATHOLOGY;POLARIZATION MICROSCOPY;RUPTURE;TENDON INJURY;TENSILE STRENGTH;FIBRIL-ASSOCIATED COLLAGENS;HUMANS;MICROSCOPY;ELECTRON;POLARIZATION;TENDON INJURIES"	"MAGNUSSON, SP (CORRESPONDING AUTHOR), BISPEBJERG HOSP, TEAM DENMARK TEST CTR, BISPEBJERG BAKKE 23, DK-2400 COPENHAGEN NV, DENMARK; BISPEBJERG HOSP, TEAM DENMARK TEST CTR, DK-2400 COPENHAGEN NV, DENMARK; UNIV COPENHAGEN, PANUM INST, DEPT MED ANAT, DK-2200 COPENHAGEN, DENMARK; BISPEBJERG HOSP, SPORTS MED RES UNIT, DK-2400 COPENHAGEN, DENMARK; BISPEBJERG HOSP, DEPT ORTHOPED, DK-2400 COPENHAGEN, DENMARK"	"TEAM DANMARK TEST CENTER,BISPEBJERG HOSPITAL,BISPEBJERG BAKKE 23,2400 COPENHAGEN NV,DENMARK; DEPARTMENT OF MEDICAL ANATOMY,PANUM INSTITUTE,UNIVERSITY OF COPENHAGEN,COPENHAGEN,DENMARK; SPORTS MEDICINE RESEARCH UNIT,DENMARK; ORTHOPEDIC DEPARTMENT,DENMARK"	"TEAM DANMARK TEST CENTER,BISPEBJERG HOSPITAL,BISPEBJERG BAKKE 23,2400 COPENHAGEN NV,DENMARK; DEPARTMENT OF MEDICAL ANATOMY,PANUM INSTITUTE,UNIVERSITY OF COPENHAGEN,COPENHAGEN,DENMARK; SPORTS MEDICINE RESEARCH UNIT,DENMARK; ORTHOPEDIC DEPARTMENT,DENMARK"	"10.1016/S0945-053X(02)00011-2"	"MATRIX BIOLOGY"	"ARTICLE"	"Scopus,WebOfScience"	"FIBRIL DIAMETER;ELECTRON MICROSCOPY;CRIMP ANGLE;COLLAGEN MOLECULE"
"COLLECTION OF FIBER EVIDENCE USING A ROLLER DEVICE AND ADHESIVE LIFTS"	1992	"FLINN LL"	""	""	"ADHESIVE LIFTS;  ADHESIVE TAPES;  CRIMINALISTICS;  FIBER COLLECTION;  FIBER EVIDENCE;  FIBERS;  LIFT PREPARATION APPARATUS;  ROLLER COLLECTION DEVICE;  TAPE LIFTS"	"ADHESIVE AGENT;APPARATUS;ARTICLE;CLOTHING;CRIMINOLOGY;DEVICE;FIBER;FORENSIC MEDICINE;LABORATORY;NONHUMAN;PRIORITY JOURNAL;VICTIM"	NA	"U.S. ARMY CRIMINAL INVES. LAB.,CONUS,FORT GILLEM,FOREST PARK,GA 30050-5000,UNITED STATES"	"U.S. ARMY CRIMINAL INVES. LAB.,CONUS,FORT GILLEM,FOREST PARK,GA 30050-5000,UNITED STATES"	"10.1520/jfs13217j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus"	";ADHESIVE LIFTS;ADHESIVE TAPES;CRIMINALISTICS;FIBER COLLECTION;FIBER EVIDENCE;FIBERS;LIFT PREPARATION APPARATUS;ROLLER COLLECTION DEVICE;TAPE LIFTS"
"COLOR 3D ELECTRONIC IMAGING OF THE SURFACE OF THE HUMAN BODY"	1994	"RIOUX M"	""	""	"3D MEASUREMENT;  ANTHROPOMETRY;  COLOR;  ELECTRONIC IMAGING;  FORENSIC;  LASER SCANNING;  RANGE SENSING;  SHAPE"	"ANTHROPOMETRY;COLOR;INSPECTION;LASER APPLICATIONS;OPTICAL FIBERS;SATELLITE COMMUNICATION SYSTEMS;SCANNING;3-D MEASUREMENT;ELECTRONIC IMAGING;FORENSIC;LASER SCANNING;RANGE SENSING;SHAPE;FACE RECOGNITION"	NA	"AUTONOMOUS SYSTEMS LABORATORY,INSTITUTE FOR INFORMATION TECHNOLOGY,NATIONAL RESEARCH COUNCIL CANADA,OTTAWA,K1A 0R6,CANADA"	"AUTONOMOUS SYSTEMS LABORATORY,INSTITUTE FOR INFORMATION TECHNOLOGY,NATIONAL RESEARCH COUNCIL CANADA,OTTAWA,K1A 0R6,CANADA"	"10.1117/12.191892"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"CONFERENCE PAPER"	"Scopus"	";3D MEASUREMENT;ANTHROPOMETRY;COLOR;ELECTRONIC IMAGING;FORENSIC;LASER SCANNING;RANGE SENSING;SHAPE"
"COLOR COMPARISON IN QUESTIONED DOCUMENT EXAMINATION USING MICROSPECTROPHOTOMETRY"	1986	"OLSON LA"	""	""	""	"INK;CLASSIFICATION;CONTROLLED STUDY;DIAGNOSIS;DOCUMENT EXAMINATION;EDUCATION;ETIOLOGY;METHODOLOGY;MICROSPECTROPHOTOMETRY;NONBIOLOGICAL MODEL;NONHUMAN;ORGANIZATION AND MANAGEMENT;POSTAGE STAMP;PRELIMINARY COMMUNICATION;PRIORITY JOURNAL"	NA	"IRS-CID-FORENSIC LABORATORY,CHICAGO,IL 60606,UNITED STATES"	"IRS-CID-FORENSIC LABORATORY,CHICAGO,IL 60606,UNITED STATES"	"10.1520/jfs11910j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus"	""
"COLOR MATCHING BY MICROSPECTROPHOTOMETRY, A MEW DIMENSION IN DOCUMENT EXAMINATION"	1983	"HAUSDORFF HH;COATES VJ"	""	""	""	"ABSORPTION;DYES AND PIGMENTS;MICROSPECTROPHOTOMETER CAPABILITIES;PAINT CHIPS;REFLECTANCE SPECTRA;COLOR"	NA	"NANOMETRICS,INC.,126 OLD RIDGEFIELD READ,WILTON,CT,06897,UNITED STATES"	"NANOMETRICS,INC.,126 OLD RIDGEFIELD READ,WILTON,CT,06897,UNITED STATES"	"10.1117/12.935780"	"PROCEEDINGS OF SPIE - THE INTERNATIONAL SOCIETY FOR OPTICAL ENGINEERING"	"ARTICLE"	"Scopus"	""
"COLOR MATCHING WITHIN A FIBER DATA COLLECTION"	1988	"HARTSHORNE AW;LAING DK"	""	""	""	"COLORING AGENT;DYE;COMPUTER ANALYSIS;COTTON;FIBER;INFORMATION PROCESSING;METHODOLOGY;NONHUMAN;PRELIMINARY COMMUNICATION;PRIORITY JOURNAL;WOOL"	NA	"CENTRAL RESEARCH ESTABLISHMENT,HOME OFFICE FORENSIC SCIENCE SERVICE,READING RG7 4PN,UNITED KINGDOM"	"CENTRAL RESEARCH ESTABLISHMENT,HOME OFFICE FORENSIC SCIENCE SERVICE,READING RG7 4PN,UNITED KINGDOM"	"10.1520/jfs12578j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus"	""
"COLOUR IMAGE PROCESSING FOR TEXTILE FIBRE MATCHING IN FORENSIC SCIENCE. PH.D. THESIS"	1989	"MCEWEN GJ"	""	""	""	"NA"	NA	"QUEENS UNIV,BELFAST,UK,UNITED KINGDOM"	"QUEENS UNIV,BELFAST,UK,UNITED KINGDOM"	""	""	"ARTICLE"	"Scopus"	""
"COMB-CALIBRATED LASER RANGING FOR THREE-DIMENSIONAL SURFACE PROFILING WITH MICROMETER-LEVEL PRECISION AT A DISTANCE"	2014	"BAUMANN E;GIORGETTA FR;DESCHNES JD;SWANN WC;CODDINGTON I;NEWBURY NR;DESCHENES JD"	""	"CHIRP LINEARIZATION; FREQUENCY; ACCURACY; INTERFEROMETRY; NOISE; LADAR;; SPECTROSCOPY; RADAR"	""	"CALIBRATION;DIGITAL SIGNAL PROCESSING;IMAGING SYSTEMS;MAPPING;MICROMETERS;SHOT NOISE;SIGNAL PROCESSING;DIVERSE APPLICATIONS;FREQUENCY-MODULATED CONTINUOUS WAVES;LASER DETECTION AND RANGING;REAL-TIME DIGITAL SIGNAL PROCESSING;SCANNING IMAGING SYSTEMS;STAND-OFF DISTANCE (SOD);THREE DIMENSIONAL IMAGES;THREE-DIMENSIONAL SURFACE;OPTICAL RADAR;ANATOMY AND HISTOLOGY;CACTACEAE;LASER;SIGNAL NOISE RATIO;SURFACE PROPERTY;THREE DIMENSIONAL IMAGING;TIME;UNCERTAINTY;IMAGING;THREE-DIMENSIONAL;LASERS;SIGNAL-TO-NOISE RATIO;SURFACE PROPERTIES;TIME FACTORS"	"BAUMANN, E (CORRESPONDING AUTHOR), NIST, 325 BROADWAY, BOULDER, CO 80305 USA; BAUMANN, E; GIORGETTA, F R; DESCHENES, J -D; SWANN, W C; CODDINGTON, I; NEWBURY, N R, NIST, BOULDER, CO 80305 USA"	"NIST,325 BROADWAY,BOULDER,CO  80305,UNITED STATES"	"NIST,325 BROADWAY,BOULDER,CO  80305,UNITED STATES"	"10.1364/OE.22.024914"	"OPTICS EXPRESS"	"ARTICLE"	"Scopus,WebOfScience"	""
"COMBINATION OF DNA-TYPING AND CHEMICAL EXAMINATION FOR FORENSIC INVESTIGATION OF SINGLE BLOODSTAIN"	2002	"NAKAZONO T;KASHIMURA S;HARA K;HAYASHIBA Y"	""	""	""	""	"NAKAZONO, T (CORRESPONDING AUTHOR), FUKUOKA UNIV, SCH MED, DEPT FORENS MED, FUKUOKA, JAPAN; FUKUOKA UNIV, SCH MED, DEPT FORENS MED, FUKUOKA, JAPAN"	"NAKAZONO, T (CORRESPONDING AUTHOR), FUKUOKA UNIV, SCH MED, DEPT FORENS MED, FUKUOKA, JAPAN; FUKUOKA UNIV, SCH MED, DEPT FORENS MED, FUKUOKA, JAPAN"	NA	""	"16TH MEETING OF THE INTERNATIONAL ASSOCIATION OF FORENSIC SCIENCES"	"PROCEEDINGS"	"WebOfScience"	""
"COMBINATION OF FATAL DIGOXIN POISONING WITH ENDOCARDIAL FIBROELASTOSIS"	1997	"GRELLNER W;KFERSTEIN H;STICHT G;KAFERSTEIN H"	"DIGOXIN INTOXICATION; POSTMORTEM DIGOXIN CONCENTRATIONS; ENDOCARDIAL; FIBROELASTOSIS; CHILDREN; AUTOPSY CASE"	"SERUM CONCENTRATIONS; CHILDREN; INFANTS"	"AUTOPSY CASE;  CHILDREN;  DIGOXIN INTOXICATION;  ENDOCARDIAL FIBROELASTOSIS;  POSTMORTEM DIGOXIN CONCENTRATIONS"	"COLLAGEN FIBER;DIGOXIN;METILDIGOXIN;ARTICLE;AUTOPSY;CASE REPORT;CAUSE OF DEATH;DIGOXIN BLOOD LEVEL;DRUG FATALITY;DRUG INTOXICATION;DRUG LIVER LEVEL;DRUG TISSUE LEVEL;ELASTIC FIBER;ENDOCARDIAL DISEASE;ENDOCARDIAL FIBROELASTOSIS;FEMALE;FLUORESCENCE POLARIZATION IMMUNOASSAY;HEART DISEASE;HEART MUSCLE;HEART VENTRICLE HYPERTROPHY;HUMAN;HUMAN TISSUE;KIDNEY;LUNG;MALPRACTICE;MORPHOLOGY;PRESCHOOL CHILD;PRIORITY JOURNAL;PSOAS MUSCLE;TOXICOLOGY;CARDIOTONIC AGENTS;CHILD;PRESCHOOL;FATAL OUTCOME;HUMANS;POISONING"	"GRELLNER, W (CORRESPONDING AUTHOR), UNIV COLOGNE,INST FORENS MED,MELATENGUERTEL 60-62,D-50823 COLOGNE,GERMANY"	"INSTITUTE OF FORENSIC MEDICINE,UNIVERSITY OF COLOGNE,MELATENGUERTEL 60-62,D-50823 COLOGNE,GERMANY"	"INSTITUTE OF FORENSIC MEDICINE,UNIVERSITY OF COLOGNE,MELATENGUERTEL 60-62,D-50823 COLOGNE,GERMANY"	"10.1016/S0379-0738(97)00134-5"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"DIGOXIN INTOXICATION;POSTMORTEM DIGOXIN CONCENTRATIONS;ENDOCARDIAL;FIBROELASTOSIS;CHILDREN;AUTOPSY CASE;ENDOCARDIAL FIBROELASTOSIS"
"COMBINED RECOVERY OF BIOLOGICAL AND FIBRE TRACES"	2017	"SAMLAL-SOEDHOE R;WILLEMSTEIN LM;BAIKER M;VAN DER WEERD J"	""	"DNA; POPULATION; TAPE"	""	"DNA;POLYESTER;ARTICLE;DNA EXTRACTION;DNA ISOLATION;HEATING;ILLUMINATION;MOLECULAR STABILITY;SURFACE PROPERTY;TEXTILE FIBER;ULTRAVIOLET RADIATION;CLOTHING;COTTON;FLUORESCENCE;FORENSIC SCIENCE;HUMAN;ISOLATION AND PURIFICATION;PROCEDURES;SPECIMEN HANDLING;COTTON FIBER;FORENSIC SCIENCES;HUMANS;POLYESTERS"	"VAN DER WEERD, J (CORRESPONDING AUTHOR), NETHERLANDS FORENS INST, DIV CHEM \& PHYS TRACES, POB 24044, NL-2490AA THE HAGUE, NETHERLANDS; SAMLAL-SOEDHOE, RADHA; BAIKER, MARTIN; VAN DER WEERD, JAAP, NETHERLANDS FORENS INST, DIV CHEM \& PHYS TRACES, POB 24044, NL-2490AA THE HAGUE, NETHERLANDS; WILLEMSTEIN, LAURA M, NETHERLANDS FORENS INST, DIV BIOL TRACES, POB 24044, NL-2490AA THE HAGUE, NETHERLANDS"	"NETHERLANDS FORENSIC INSTITUTE,DIVISION OF CHEMICAL AND PHYSICAL TRACES,P.O.BOX 24044,THE HAGUE,2490AA,NETHERLANDS; NETHERLANDS FORENSIC INSTITUTE,DIVISION OF BIOLOGICAL TRACES,NETHERLANDS"	"NETHERLANDS FORENSIC INSTITUTE,DIVISION OF CHEMICAL AND PHYSICAL TRACES,P.O.BOX 24044,THE HAGUE,2490AA,NETHERLANDS; NETHERLANDS FORENSIC INSTITUTE,DIVISION OF BIOLOGICAL TRACES,NETHERLANDS"	"10.1016/j.scijus.2017.02.001"	"SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	""
"COMBINING THE TAPE-LIFT METHOD AND FOURIER TRANSFORM INFRARED SPECTROSCOPIC IMAGING FOR FORENSIC APPLICATIONS"	2006	"RICCI C;CHAN KLA;KAZARIAN SG"	"FOURIER TRANSFORM INFRARED SPECTROSCOPY; FT-IR SPECTROSCOPIC IMAGING; ATTENUATED TOTAL REFLECTION; ATR; FORENSICS; DRUGS OF ABUSE; POLYDIMETHYLSILOXANE; PDMS; DIACETYLMORPHINE; FINGERPRINTS"	"GUNSHOT RESIDUE ANALYSIS; ILLICIT DRUG SEIZURES; IDENTIFICATION;; FINGERPRINTS; PARACETAMOL; FORMULATIONS; FIBERS; PAINT; ABUSE; IR"	""	""	"KAZARIAN, SG (CORRESPONDING AUTHOR), UNIV LONDON IMPERIAL COLL SCI TECHNOL \& MED, DEPT CHEM ENGN, LONDON SW7 2AZ, ENGLAND; UNIV LONDON IMPERIAL COLL SCI TECHNOL \& MED, DEPT CHEM ENGN, LONDON SW7 2AZ, ENGLAND"	"KAZARIAN, SG (CORRESPONDING AUTHOR), UNIV LONDON IMPERIAL COLL SCI TECHNOL \& MED, DEPT CHEM ENGN, LONDON SW7 2AZ, ENGLAND; UNIV LONDON IMPERIAL COLL SCI TECHNOL \& MED, DEPT CHEM ENGN, LONDON SW7 2AZ, ENGLAND"	NA	"10.1366/000370206778397434"	"APPLIED SPECTROSCOPY"	"ARTICLE"	"WebOfScience"	"FOURIER TRANSFORM INFRARED SPECTROSCOPY;FT-IR SPECTROSCOPIC IMAGING;ATTENUATED TOTAL REFLECTION;ATR;FORENSICS;DRUGS OF ABUSE;POLYDIMETHYLSILOXANE;PDMS;DIACETYLMORPHINE;FINGERPRINTS"
