Authors	Author(s) ID	Title	Year	Source title	Volume	Issue	Art. No.	Page start	Page end	Page count	Cited by	DOI	Link	Author Keywords	Index Keywords	Document Type	Publication Stage	Access Type	Source	EID
"Wu M.-X., Wang H.-Y., Zhang J.-T., Guo Y.-L."	56517259500;55865489800;56431255200;14019315200;	Multifunctional Carbon Fiber Ionization Mass Spectrometry	2016	Analytical Chemistry	88	19		9547	9553		25	10.1021/acs.analchem.6b02166	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84989907497&doi=10.1021%2facs.analchem.6b02166&partnerID=40&md5=9eac217a09917fbaced3ab6907fb19f0		"Air; Aromatic hydrocarbons; Carbon fibers; Chromatography; Distillation; Drug products; Effluent treatment; Electric corona; Electrospray ionization; Gas chromatography; Ionization; Lipids; Mass spectrometry; Organic compounds; Organometallics; Polycyclic aromatic hydrocarbons; Spectrometry; Supercritical fluids; Aliphatic aldehydes; Electron ionization mass spectrometry; Ion formation mechanisms; Ionization mass spectrometry; Mass spectrometric analysis; Organometallic compounds; Separation techniques; Super critical fluid chromatography; Chemical analysis; carbon; carbon fiber; organic compound; breath analysis; chemistry; human; mass spectrometry; procedures; supercritical fluid chromatography; urine; Breath Tests; Carbon; Chromatography, Supercritical Fluid; Humans; Mass Spectrometry; Organic Chemicals"	Article	Final		Scopus	2-s2.0-84989907497
"Templeton J.E.L., Taylor D., Handt O., Skuza P., Linacre A."	55886266900;23483131800;6602430592;15765994700;6701572366;	Direct PCR Improves the Recovery of DNA from Various Substrates	2015	Journal of Forensic Sciences	60	6		1558	1562		25	10.1111/1556-4029.12843	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955177034&doi=10.1111%2f1556-4029.12843&partnerID=40&md5=c5760608f0a0d2d36f61483c124092a3	Direct Polymerase Chain Reaction; DNA typing; Forensic science; Human identification; Short tandem repeats; Trace DNA	brass; copper; DNA; glass; microsatellite DNA; plastic; zinc; chemistry; devices; DNA fingerprinting; human; isolation and purification; polymerase chain reaction; procedures; specimen handling; Copper; DNA; DNA Fingerprinting; Glass; Humans; Microsatellite Repeats; Plastics; Polymerase Chain Reaction; Specimen Handling; Zinc	Article	Final		Scopus	2-s2.0-84955177034
"Bairros A.V.D., Lanaro R., Almeida R.M.D., Yonamine M."	57191524599;28567789500;57200984604;6701353320;	"Determination of ketamine, norketamine and dehydronorketamine in urine by hollow-fiber liquid-phase microextraction using an essential oil as supported liquid membrane"	2014	Forensic Science International	243			47	54		25	10.1016/j.forsciint.2014.04.016	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84899794108&doi=10.1016%2fj.forsciint.2014.04.016&partnerID=40&md5=5d15fe1c4dce3acdbd7fe085fec1ef59	Essential oils; Gas chromatography-mass spectrometry; Hollow fiber-liquid phase microextraction; Ketamine; Urine	"dehydronorketamine; drug metabolite; eucalyptus oil; hydrochloric acid; ketamine; norketamine; trifluoroacetic anhydride; unclassified drug; anesthetic agent; ketamine; norketamine; vegetable oil; dehydronorketamine; essential oil; ketamine; norketamine; adult; alkalinization; analytic method; article; calibration; case report; clinical effectiveness; controlled study; drug determination; drug urine level; female; green chemistry; hollow fiber; hollow fiber liquid phase microextraction; human; intermethod comparison; limit of detection; limit of quantitation; liquid liquid extraction; liquid membrane; liquid phase microextraction; mass fragmentography; metabolite; phase partitioning; phase separation; priority journal; process control; process design; process optimization; process technology; reference value; residue analysis; separation technique; solid phase extraction; solvent effect; solvent extraction; substance abuse; urinalysis; validation study; analogs and derivatives; Eucalyptus; forensic toxicology; liquid phase microextraction; procedures; urine; Article; chemical analysis; chemical procedures; degradation; dehydrogenation; Glasgow coma scale; hypernatremia; ionization; leukocytosis; liquid membrane; suicide attempt; urinalysis; validation process; Anesthetics, Dissociative; Eucalyptus; Forensic Toxicology; Gas Chromatography-Mass Spectrometry; Humans; Hydrochloric Acid; Ketamine; Limit of Detection; Liquid Phase Microextraction; Plant Oils"	Article	Final		Scopus	2-s2.0-84899794108
"Palmer R., Burch H.J."	55636317627;14828745600;	"The population, transfer and persistence of fibres on the skin of living subjects"	2009	Science and Justice	49	4		259	264		25	10.1016/j.scijus.2009.02.008	https://www.scopus.com/inward/record.uri?eid=2-s2.0-71649097313&doi=10.1016%2fj.scijus.2009.02.008&partnerID=40&md5=32a268fad0942065bc764aa0c50a54c1	Bathing; Fibres; Length; Persistence; Skin; Transfer	polyester; arm; article; color; cotton; daily life activity; degradation; female; fiber; human; male; skin; wool; Clothing; Female; Forensic Medicine; Humans; Male; Microscopy; Skin; Textiles; Touch	Article	Final		Scopus	2-s2.0-71649097313
"Hosgor M., Karaca I., Ulukus C., Ozer E., Ozkara E., Sam B., Ucan B., Kurtulus S., Karkiner A., Temir G."	6602685365;7007102496;56310479500;7102789486;6602426380;6602570847;6603219856;57190810334;6507626209;6603489900;	Structural changes of smooth muscle in congenital ureteropelvic junction obstruction	2005	Journal of Pediatric Surgery	40	10		1632	1636		25	10.1016/j.jpedsurg.2005.06.025	https://www.scopus.com/inward/record.uri?eid=2-s2.0-27444446238&doi=10.1016%2fj.jpedsurg.2005.06.025&partnerID=40&md5=d7b042b290fb6e2365bde1f448393ac7	Myosin heavy chains; Smooth muscle; Ureteropelvic junction obstruction	"isoprotein; monoclonal antibody; myosin heavy chain; myosin I; myosin II; protein Sm1; protein SM2; protein SMemb; unclassified drug; adolescent; article; autopsy; cell differentiation; child; clinical article; comparative study; controlled study; cytopathology; female; forensic pathology; human; human tissue; immunohistochemistry; infant; male; pathogenesis; priority journal; protein expression; pyeloplasty; smooth muscle; smooth muscle fiber; statistical significance; ureteropelvic junction obstruction; Adolescent; Child; Child, Preschool; Female; Humans; Infant; Kidney Pelvis; Male; Muscle, Smooth; Ureteral Obstruction"	Article	Final		Scopus	2-s2.0-27444446238
"Causin V., Marega C., Guzzini G., Marigo A."	6602309019;6603912123;6504103926;7004694222;	Forensic analysis of poly(ethylene terephthalate) fibers by infrared spectroscopy	2004	Applied Spectroscopy	58	11		1272	1276		25	10.1366/0003702042475411	https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744285872&doi=10.1366%2f0003702042475411&partnerID=40&md5=2cd2fa65b426edbb12cd55393fbaeafe	Fibers; Forensic science; Infrared spectroscopy; PET; Poly(ethylene terephthalate)	"Conformations; Differential scanning calorimetry; Infrared spectroscopy; Plastic filaments; Spectrometers; Textile industry; Attenuated total reflection (ATR); Crystalline phases; Infrared microscopy; Relative standard deviation (RSD); Polyethylene terephthalates; polyethylene terephthalate; article; crime; differential scanning calorimetry; forensic science; infrared spectroscopy; instrumentation; methodology; textile; theoretical model; Calorimetry, Differential Scanning; Crime; Forensic Sciences; Models, Theoretical; Polyethylene Terephthalates; Spectroscopy, Fourier Transform Infrared; Textiles; Forensics; Infrared Spectra; Molecular Structure; Polyethylene Terephthalate; Spectrometers; Textile Fibers; Textiles"	Article	Final		Scopus	2-s2.0-9744285872
"Zeichner A., Eldar B., Glattstein B., Koffman A., Tamiri T., Muller D."	7005860122;6507052211;6603520952;6602995234;6506848844;57199771924;	"Vacuum collection of gunpowder residues from clothing worn by shooting suspects, and their analysis by GC/TEA, IMS, and GC/MS"	2003	Journal of Forensic Sciences	48	5		961	972		25		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0042821481&partnerID=40&md5=0f3eef834b0721975d8a851fb6d777ff	Forensic science; GC/TEA; Gunpowder residue; IMS; Propellant residue; Vacuum collection	glass fiber; gunpowder; politef; propellant; solvent; article; centrifugation; clothing; evaporation; filter; forensic science; gas chromatography; Israel; mass spectrometry; police; priority journal; spectrometry; vacuum; weapon	Article	Final		Scopus	2-s2.0-0042821481
"Cantrell S., Roux C., Maynard P., Robertson J."	15736699000;7202017940;7003703574;7404531595;	A textile fibre survey as an aid to the interpretation of fibre evidence in the Sydney region	2001	Forensic Science International	123	1		48	53		25	10.1016/S0379-0738(01)00520-5	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035891454&doi=10.1016%2fS0379-0738%2801%2900520-5&partnerID=40&md5=e22c98689880a6c32fe738cab3379bb2	Evidential value; Fibres; Frequency; Population; Survey	polyester; article; audiovisual equipment; Australia; color; cotton; fiber; fluorescence; population research; priority journal; seat; textile; Australia; Forensic Medicine; Humans; Textiles	Article	Final		Scopus	2-s2.0-0035891454
"Roux C., Chable J., Margot P."	7202017940;6507239081;7004580112;	Fibre transfer experiments onto car seats	1996	Science and Justice - Journal of the Forensic Science Society	36	3		143	151		25	10.1016/S1355-0306(96)72589-3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029761988&doi=10.1016%2fS1355-0306%2896%2972589-3&partnerID=40&md5=4a42f9f2ea6a9cf7f08f4a922c395483	Criminalistics; Fibre evidence; Fibre transfer; Forensic science; Significance of fibre evidence	article; car driving; clothing; driver; forensic science; human; seat; textile; time	Article	Final		Scopus	2-s2.0-0029761988
deSa D.J.	7003561150;	Isolated myocarditis as a cause of sudden death in the first year of life	1986	Forensic Science International	30	02-Mar		113	117		25	10.1016/0379-0738(86)90005-8	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0022578562&doi=10.1016%2f0379-0738%2886%2990005-8&partnerID=40&md5=680b64b704331bf87be48eda112953df	Chagas' disease; Coxsackie B; Myocarditis; Sudden infant death	"autopsy; case report; coxsackie virus; diagnosis; editorial; etiology; forensic medicine; heart; heart disease; histology; histopathology; human; infant; myocarditis; priority journal; sudden infant death syndrome; virology; Coxsackievirus Infections; Enterovirus B, Human; Human; Infant; Myocarditis; Myocardium; Organ Weight; Sudden Infant Death"	Article	Final		Scopus	2-s2.0-0022578562
"Wieczorek A.M., Morrison L., Croot P.L., Allcock A.L., MacLoughlin E., Savard O., Brownlow H., Doyle T.K."	57200725630;15063032300;6603848061;7102795373;57194763266;57200727835;57200726723;14028496900;	Frequency of microplastics in mesopelagic fishes from the Northwest Atlantic	2018	Frontiers in Marine Science	5	FEB	39				24	10.3389/fmars.2018.00039	https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042271661&doi=10.3389%2ffmars.2018.00039&partnerID=40&md5=6b0a51f5e7ac938b2916ae1998aa7f3a	Biogeochemical cycling; Carbon sequestration; Deep sea; Eddy; Fibres; Marine litter; Micro-FTIR; Myctophids		Article	Final	Open Access	Scopus	2-s2.0-85042271661
"Rauert C., Harrad S., Suzuki G., Takigami H., Uchida N., Takata K."	55619506300;56264443000;35235229700;6701657833;56239144800;56239826200;	Test chamber and forensic microscopy investigation of the transfer of brominated flame retardants into indoor dust via abrasion of source materials	2014	Science of the Total Environment	493			639	648		24	10.1016/j.scitotenv.2014.06.029	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903516967&doi=10.1016%2fj.scitotenv.2014.06.029&partnerID=40&md5=7a1d288e577b5df79f1fa2b16cb865f5	Brominated flame retardants; Forensic microscopy; HBCDs; Migration pathways to dust; PBDEs; Test chambers	"Abrasion; Experiments; Floors; Fourier transform infrared spectroscopy; Spectrometers; Tribology; Brominated flame retardants; HBCDs; Migration pathway; PBDEs; Test chambers; Dust; acrylic acid copolymer; antimony; brominated flame retardant; bromine; flame retardant; hexabromocyclododecane; unclassified drug; decabromodiphenyl ether; dust; flame retardant; concentration (composition); dust; forensic science; microscopy; PBDE; abrasion; indoor air; article; concentration (parameters); contamination; fluorescence spectroscopy; forensic microscopy; house dust; infrared spectroscopy; investigative procedures; liquid chromatography; mass spectrometry; micro X ray fluorescent spectroscopy; microenvironment; microscopy; particle size; priority journal; scanning emission microscopy; test chamber; United Kingdom; X ray spectrometry; analytic method; Article; bromination; chemical analysis; chemical composition; chemical procedures; controlled study; energy dispersive x ray spectrometry; equipment design; forensic science; general device; in house test chamber; indoor air pollution; material abrasion; process control; process design; process technology; scanning electron microscopy; solvent extraction; tandem mass spectrometry; X ray fluorescence; analysis; dust; environmental monitoring; friction; housing; indoor air pollution; microscopy; United Kingdom; Air Pollution, Indoor; Dust; Environmental Monitoring; Flame Retardants; Friction; Housing; Microscopy"	Article	Final		Scopus	2-s2.0-84903516967
"Thieme D., Sachs H."	55897142400;7102497207;	Examination of a long-term clozapine administration by high resolution segmental hair analysis	2007	Forensic Science International	166	02-Mar		110	114		24	10.1016/j.forsciint.2006.04.015	https://www.scopus.com/inward/record.uri?eid=2-s2.0-33847077547&doi=10.1016%2fj.forsciint.2006.04.015&partnerID=40&md5=f2b3ee13fb08ab8c8b369b883d5963c1	Antipsychotic drugs; Clozapine; Drug monitoring; Hair analysis; Liquid chromatography-tandem mass spectrometry; Segmentation	clozapine; norclozapine; adult; article; case report; diagnostic accuracy; drug tissue level; female; growth rate; hair analysis; hair growth; high performance liquid chromatography; human; human cell; human tissue; intoxication; isocratic liquid chromatography; liquid chromatography; long term care; mass spectrometry; priority journal; reproducibility; tandem mass spectrometry; ultrasound; Adult; Antipsychotic Agents; Clozapine; Drug Monitoring; Female; Forensic Toxicology; Gas Chromatography-Mass Spectrometry; Hair; Humans; Reproducibility of Results	Article	Final		Scopus	2-s2.0-33847077547
"Grieve M.C., Biermann T.W., Schaub K."	7003921245;36747624800;8250407300;	The individuality of fibres used to provide forensic evidence - Not all blue polyesters are the same	2005	Science and Justice - Journal of the Forensic Science Society	45	1		13	28		24	10.1016/S1355-0306(05)71616-6	https://www.scopus.com/inward/record.uri?eid=2-s2.0-14644395482&doi=10.1016%2fS1355-0306%2805%2971616-6&partnerID=40&md5=7c469cbefcd249b00b529b5e58df94db	Blocks of colour; Fibres; Forensic science; Frequency; Individualization; Polyester	polyester; article; clothing; color; crime; fiber; forensic medicine; forensic science; population research	Article	Final		Scopus	2-s2.0-14644395482
"Koester C.J., Andresen B.D., Grant P.M."	7003697211;57197466229;24369078000;	Optimum methamphetamine profiling with sample preparation by solid-phase microextraction	2002	Journal of Forensic Sciences	47	5		1002	1007		24		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0036379874&partnerID=40&md5=10f4888d1e0fa33505ee728c365602cc	"Chemical profiling; Forensic science; GC/MS; Material ""fingerprint""; Methamphetamine; Signatures analysis; Solid-phase microextraction (SPME)"	"1,2 dimethyl 3 phenylaziridine; aziridine derivative; caffeine; ephedrine; methamphetamine; unclassified drug; vanillin; analytic method; article; comparative study; finger dermatoglyphics; forensic science; gas chromatography; handwriting; mass spectrometry; priority journal; solid phase microextraction"	Article	Final		Scopus	2-s2.0-0036379874
"Armitage S., Saywell S., Roux C., Lennard C., Greenwood P."	8243394900;18937140400;7202017940;7004674536;7102498651;	The analysis of forensic samples using laser micro-pyrolysis gas chromatography mass spectrometry	2001	Journal of Forensic Sciences	46	5		1043	1052		24		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035187683&partnerID=40&md5=ee81bcd54026634b958a7b96b662b13f	Forensic science; Gas chromatography; Laser; Mass spectrometry; Paint; Photocopier toner; Pyrolysis; Synthetic fibers	paint; analytic method; article; chemical analysis; fiber; laser; mass spectrometry; priority journal; pyrolysis; reproducibility; DNA Fingerprinting; Forensic Medicine; Gas Chromatography-Mass Spectrometry; Humans; Lasers; Manufactured Materials; Sensitivity and Specificity; Textiles	Article	Final		Scopus	2-s2.0-0035187683
"Grieve M.C., Wiggins K.G."	7003921245;7003873724;	Fibers under fire: Suggestions for improving their use to provide forensic evidence	2001	Journal of Forensic Sciences	46	4		835	843		24		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034961302&partnerID=40&md5=5514f4088eb90b6ff16e21f81d5f5d4f	Comparison; Criminalistics; Evidential value; Examination; Fiber frequency; Fibers; Forensic science; Fourier Transform Infrared-microscopy microspectrophotometry; Sampling	"DNA; analysis; conference paper; criminal justice; criminology; evidence based medicine; forensic science; genetic engineering; information; priority journal; technology; Clothing; Criminology; DNA Fingerprinting; Expert Testimony; Forensic Medicine; Humans; Spectroscopy, Fourier Transform Infrared"	Conference Paper	Final		Scopus	2-s2.0-0034961302
"Ishii A., Seno H., Kumazawa T., Nishikawa M., Watanabe K., Hattori H., Suzuki O."	55256514300;7101921866;7202819297;7402607337;7406698038;26643299200;35407942400;	Simple clean-up of methamphetamine and amphetamine in human urine by Direct-Immersion Solid Phase Micro Extraction (DI-SPME)	1996	Japanese Journal of Forensic Toxicology	14	3		228	232		24		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0001381495&partnerID=40&md5=7c9e3767d90a94b0f4615ec482a70330	Amphetamine; Capillary GC; Direct-immersion (DI) method; Gas chromatography (GC); Methamphetamine; Nitrogen-phsophorus detection (NPD); Solid phase micro extraction (SPME)		Article	Final		Scopus	2-s2.0-0001381495
"Marshall R.C., Gillespie J.M., Klement V."	7401713793;7402108728;7004082879;	Methods and Future Prospects for Forensic Identification of Hairs by Electrophoresis	1985	Journal of the Forensic Science Society	25	1		57	66		24	10.1016/S0015-7368(85)72363-8	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0021972135&doi=10.1016%2fS0015-7368%2885%2972363-8&partnerID=40&md5=d6b05d375a229568cacb669dfb100701	Computer-based imaging; Electrophoresis; Hair	diagnosis; electrophoresis; forensic medicine; hair; human; human cell; identification; legal aspect; methodology; normal human; preliminary communication	Article	Final		Scopus	2-s2.0-0021972135
Pounds C.A.	6603468914;	The Recovery of Fibres from the Surface of Clothing for Forensic Examinations	1975	Journal of the Forensic Science Society	15	2		127	132		24	10.1016/S0015-7368(75)70966-0	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016584298&doi=10.1016%2fS0015-7368%2875%2970966-0&partnerID=40&md5=223b2dbd31746b7d329d23a35aa80830		nylon; clothing; fiber; forensic medicine; legal aspect; methodology; theoretical study	Article	Final		Scopus	2-s2.0-0016584298
"Valtonen E.J., Lilius H.G."	7103042840;7004182996;	Late sequelae of iatrogenic spinal accessory nerve injury	1974	Acta Chirurgica Scandinavica	140	6		453	455		24		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016209352&partnerID=40&md5=a829a52649ab2f6c7d742f77ae694492		accessory nerve; brachial plexus; forensic medicine; iatrogenic disease; injury; legal aspect; major clinical study; nerve injury; nerve suture; shoulder pain; spinal accessory root; spinal nerve; sternocleidomastoid muscle; therapy; trapezius muscle; Accessory Nerve; Adult; Biopsy; Dislocations; Female; Follow-Up Studies; Human; Iatrogenic Disease; Laterality; Male; Middle Age; Muscular Atrophy; Neck; Physical Therapy Techniques; Scapula; Shoulder Dislocation; Time Factors	Article	Final		Scopus	2-s2.0-0016209352
"Tweed F.T., Cameron R., Deak J.S., Rodgers P.G."	6602600536;7202537751;7005123404;7102858751;	"The forensic microanalysis of paints, plastics and other materials by an infrared diamond cell technique"	1974	Forensic Science	4	C		211	218		24	10.1016/0300-9432(74)90110-1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0016309411&doi=10.1016%2f0300-9432%2874%2990110-1&partnerID=40&md5=e49ad837f3315d5969e46633af4b2135		"paint; plastic; fiber; forensic science; Microchemistry; Paint; Plastics; Spectrophotometry, Infrared"	Article	Final		Scopus	2-s2.0-0016309411
"Currie M., Saafi M., Tachtatzis C., Quail F."	55813571100;6603388966;26029612300;35792462200;	Structural integrity monitoring of onshore wind turbine concrete foundations	2015	Renewable Energy	83			1131	1138		23	10.1016/j.renene.2015.05.006	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930966008&doi=10.1016%2fj.renene.2015.05.006&partnerID=40&md5=acf8ff5ded3af4527877eb940bebfe84	Concrete foundations; Forensic investigation; Monitoring; Onshore wind turbine; Structural integrity	Concretes; Data acquisition; Fiber optic sensors; Foundations; Monitoring; Structural integrity; Wind; Concrete foundation; Displacement patterns; Forensic investigation; Onshore wind turbine; Operating condition; Reliability and safeties; Supervisory control and data acquisition; Vertical displacements; Wind turbines; concrete; data processing; displacement; monitoring; operations technology; reliability analysis; stabilization; technological change; vertical movement; wind direction; wind turbine	Article	Final		Scopus	2-s2.0-84930966008
"Kabir A., Holness H., Furton K.G., Almirall J.R."	7005744830;55347017000;7004543580;7004960911;	Recent advances in micro-sample preparation with forensic applications	2013	TrAC - Trends in Analytical Chemistry	45			264	279		23	10.1016/j.trac.2012.11.013	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875549460&doi=10.1016%2fj.trac.2012.11.013&partnerID=40&md5=04041eabfc9ffc6ca3496f1d997543d7	Environmental forensics; Explosive; Forensic toxicology; Gunshot residue; Human decomposition product; Human odor; Ignitable liquid residue; Micro-sample; Sample preparation; Trace analysis	Chemical analysis; Explosives; Spectroscopy; Decomposition products; Environmental forensics; Forensic toxicology; Gunshot residue; Ignitable liquids; Micro-sample; Sample preparation; Trace analysis; explosive; glass; paint; volatile organic compound; air pollution; analysis; autolysis; automation; chemical analysis; fiber; fire; forensic science; forensic toxicology; gunshot injury; hair; human; liquid liquid extraction; mass fragmentography; mass spectrometry; odor; priority journal; review; sampling; soil pollution; solid phase extraction; solid phase microextraction; spectroscopy; water pollution	Review	Final		Scopus	2-s2.0-84875549460
"Ledbetter N.L., Walton B.L., Davila P., Hoffmann W.D., Ernest R.N., Verbeck IV G.F."	37039586000;55349812200;36459726300;35810448700;36459500700;55664919800;	Nanomanipulation-coupled nanospray mass spectrometry applied to the extraction and analysis of trace analytes found on fibers	2010	Journal of Forensic Sciences	55	5		1218	1221		23	10.1111/j.1556-4029.2010.01406.x	https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956323092&doi=10.1111%2fj.1556-4029.2010.01406.x&partnerID=40&md5=dc86daf010186f0364486dea07320875	fiber; forensic science; mass spectrometry; nanomanipulation; nanospray; trace analysis		Article	Final		Scopus	2-s2.0-77956323092
"Watt R., Roux C., Robertson J."	57206134238;7202017940;7404531595;	The population of coloured textile fibres in domestic washing machines	2005	Science and Justice - Journal of the Forensic Science Society	45	2		75	83		23	10.1016/S1355-0306(05)71632-4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-22644432762&doi=10.1016%2fS1355-0306%2805%2971632-4&partnerID=40&md5=7e4e49483c511a716457ee9363acbfea	Fibres; Forensic science; Population survey; Washing machines	article; Australia; black cotton; blue cotton; classification; clothing; color; cotton; fiber length; grey cotton; household; machine; morphology; population research; red cotton; spring; synthetic fiber; textile fiber; washing machine	Article	Final		Scopus	2-s2.0-22644432762
"Nishida N., Ikeda N., Kudo K., Esaki R."	7102865073;7202414758;7402923276;6603602725;	Sudden unexpected death of a methamphetamine abuser with cardiopulmonary abnormalities: A case report	2003	"Medicine, Science and the Law"	43	3		267	271		23	10.1258/rsmmsl.43.3.267	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0043198186&doi=10.1258%2frsmmsl.43.3.267&partnerID=40&md5=606e2246216f6002f0a4e1309d95acd9		"methamphetamine; methamphetamine; adult; article; autopsy; cardiogenic shock; cardiopulmonary arrest; case report; delinquency; drug abuse pattern; drug blood level; drug misuse; heart muscle conduction disturbance; histopathology; human; male; sudden death; tissue section; blood; drug abuse; forensic medicine; heart muscle; heart muscle conduction system; Japan; law enforcement; mental stress; middle aged; pathology; pulmonary artery; sudden death; Amphetamine-Related Disorders; Autopsy; Death, Sudden, Cardiac; Forensic Medicine; Heart Conduction System; Humans; Japan; Law Enforcement; Male; Methamphetamine; Middle Aged; Myocardium; Pulmonary Artery; Stress, Psychological"	Article	Final		Scopus	2-s2.0-0043198186
"Brauner P., Reshef A., Gorski A."	6701640253;7005687019;7102869495;	DNA profiling of trace evidence - Mitigating evidence in a dog biting case	2001	Journal of Forensic Sciences	46	5		1232	1234		23		https://www.scopus.com/inward/record.uri?eid=2-s2.0-0035187120&partnerID=40&md5=cdd677e8cc686e51e9681a4b9d1c2360	DNA; Dog bites; Forensic science; Polymerase chain reaction; Short tandem repeat; Trace evidence microclots	animal tissue; article; DNA determination; dog; dog bite; hair analysis; nonhuman; polymerase chain reaction; priority journal; Animals; Bites and Stings; Child; Crime; DNA Fingerprinting; Dogs; Female; Forensic Medicine; Hair; Humans; Tandem Repeat Sequences	Article	Final		Scopus	2-s2.0-0035187120
"White P.C., Munro C.H., Smith W.E."	7404089071;7102387157;55666219200;	In situ surface enhanced resonance Raman scattering analysis of a reactive dye covalently bound to cotton	1996	Analyst	121	6		835	838		23	10.1039/an9962100835	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0029883084&doi=10.1039%2fan9962100835&partnerID=40&md5=6d165c2c857b2fd56d56abd5586b1df6	Cotton; Enzyme digest; Fibre; Reactive dyes; Surface enhanced resonance Raman scattering (SERRS) spectroscopy	dye; analytic method; aqueous solution; article; controlled study; cotton; forensic science; Raman spectrometry	Article	Final		Scopus	2-s2.0-0029883084
"Was-Gubala J., Machnowski W."	6602268152;57192976908;	Application of Raman spectroscopy for differentiation among cotton and viscose fibers dyed with several dye classes	2014	Spectroscopy Letters	47	7		527	535		22	10.1080/00387010.2013.820760	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84898420442&doi=10.1080%2f00387010.2013.820760&partnerID=40&md5=0f42a8578e66211be62122b1a1e3fd20	dye; forensic; identification; textile fibre		Article	Final		Scopus	2-s2.0-84898420442
"Barroso M., Moreno I., Da Fonseca B., Queiroz J.A., Gallardo E."	35329243100;54793330100;54792813100;7003705645;57197920214;	Role of microextraction sampling procedures in forensic toxicology	2012	Bioanalysis	4	14		1805	1826		22	10.4155/bio.12.139	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84864969793&doi=10.4155%2fbio.12.139&partnerID=40&md5=cfd44f780c504244422eb5b34ce79f03		"sorbent; capillary tube; dispersive liquid liquid microextraction; extraction and extracts; fiber solid phase microextraction; forensic toxicology; high performance liquid chromatography; hollow fiber liquid phase microextraction; human; in tip solid phase microextraction; in tube solid phase microextraction; limit of detection; liquid chromatography; liquid liquid extraction; liquid phase microextraction; mass fragmentography; microextraction by packed sorbent; pipette; polymer monolithic microextraction; review; single drop microextraction; solid phase dynamic extraction; solid phase microextraction; stir bar sorptive extraction; thin film microextraction; ultraviolet spectroscopy; Body Fluids; Chemistry Techniques, Analytical; Environmental Pollution; Equipment Design; Forensic Toxicology; Gas Chromatography-Mass Spectrometry; Humans; Liquid Phase Microextraction; Pharmaceutical Preparations; Solid Phase Microextraction; Solvents; Substance Abuse Detection"	Review	Final		Scopus	2-s2.0-84864969793
"Mastrogianni O., Theodoridis G., Spagou K., Violante D., Henriques T., Pouliopoulos A., Psaroulis K., Tsoukali H., Raikos N."	6506140924;7005102583;8206211100;56615944600;57086641100;36247953900;6505626777;20536241600;6603479119;	Determination of venlafaxine in post-mortem whole blood by HS-SPME and GC-NPD	2012	Forensic Science International	215	01-Mar		105	109		22	10.1016/j.forsciint.2011.05.008	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84856459653&doi=10.1016%2fj.forsciint.2011.05.008&partnerID=40&md5=dfdd00fc3f45cb452c1e0c6ddf73f215	GC-NPD; HS-SPME; Post-mortem blood; Venlafaxine	"dimeticone; mirtazapine; venlafaxine; adult; analytic method; aqueous solution; article; autopsy; blood analysis; case report; cause of death; drug blood level; drug determination; drug intoxication; drug overdose; esophagus; female; forensic toxicology; gas chromatography; Greece; headspace solid phase microextraction; human; human tissue; limit of detection; limit of quantitation; nitrogen phosphorus detection; priority journal; process optimization; solid phase microextraction; stomach; temperature; thin layer chromatography; Antidepressive Agents, Second-Generation; Chromatography, Gas; Cyclohexanols; Esophagus; Female; Forensic Toxicology; Gastrointestinal Contents; Humans; Limit of Detection; Middle Aged; Nitrogen; Phosphorus; Solid Phase Microextraction; Stomach"	Article	Final		Scopus	2-s2.0-84856459653
