raw.x	raw.x.Corrected	raw.y	pass
"STUDIES ON THE FORMATION, TEMPORAL EVOLUTION AND FORENSIC APPLICATIONS OF CAMERA ``FINGERPRINTS''"	"STUDIES ON THE FORMATION, TEMPORAL EVOLUTION AND FORENSIC APPLICATIONS OF CAMERA ``FINGERPRINTS''"	"STUDIES ON THE FORMATION, TEMPORAL EVOLUTION AND FORENSIC APPLICATIONS OF CAMERA ""FINGERPRINTS"""	Partial
SYMMETRICALLY TAPERED < 30-MU M-THICK QUASI-PLANAR GERMANIUM WAVEGUIDES AS CHEMICAL SENSORS FOR MICROANALYSIS	SYMMETRICALLY TAPERED < 30-MU M-THICK QUASI-PLANAR GERMANIUM WAVEGUIDES AS CHEMICAL SENSORS FOR MICROANALYSIS	SYMMETRICALLY TAPERED <30-M-THICK QUASI-PLANAR GERMANIUM WAVEGUIDES AS CHEMICAL SENSORS FOR MICROANALYSIS	Partial
TERRASKIN (R) THE PAPER MADE FROM STONE: A STUDY OF A NEW WRITING SUPPORT FOR FORENSIC PURPOSES	TERRASKIN (R) THE PAPER MADE FROM STONE: A STUDY OF A NEW WRITING SUPPORT FOR FORENSIC PURPOSES	TERRASKIN THE PAPER MADE FROM STONE: A STUDY OF A NEW WRITING SUPPORT FOR FORENSIC PURPOSES	Partial
THE ``SKIN-SKULL-BRAIN MODEL'': A NEW INSTRUMENT FOR THE STUDY OF GUNSHOT EFFECTS	THE ``SKIN-SKULL-BRAIN MODEL'': A NEW INSTRUMENT FOR THE STUDY OF GUNSHOT EFFECTS	THE 'SKIN-SKULL-BRAIN MODEL': A NEW INSTRUMENT FOR THE STUDY OF GUNSHOT EFFECTS	Partial
"THE FATE OF ARCHAEOLOGICAL KERATIN FIBRES IN A TEMPERATE BURIAL CONTEXT: MICROTAPHONOMY STUDY OF HAIRS FROM MARIE DE BRETAGNE (15TH C., ORLEANS, FRANCE)"	"THE FATE OF ARCHAEOLOGICAL KERATIN FIBRES IN A TEMPERATE BURIAL CONTEXT: MICROTAPHONOMY STUDY OF HAIRS FROM MARIE DE BRETAGNE (15TH C., ORLEANS, FRANCE)"	"THE FATE OF ARCHAEOLOGICAL KERATIN FIBRES IN A TEMPERATE BURIAL CONTEXT: MICROTAPHONOMY STUDY OF HAIRS FROM MARIE DE BRETAGNE (15TH C., ORLANS, FRANCE)"	Partial
THE KINETICS OF COLOUR CHANGE IN TEXTILES AND FIBRES TREATED WITH DETERGENT SOLUTIONS PART II - SPECTROPHOTOMETRIC MEASUREMENTS	THE KINETICS OF COLOUR CHANGE IN TEXTILES AND FIBRES TREATED WITH DETERGENT SOLUTIONS PART II - SPECTROPHOTOMETRIC MEASUREMENTS	THE KINETICS OF COLOUR CHANGE IN TEXTILES AND FIBRES TREATED WITH DETERGENT SOLUTIONS. PART II - SPECTROPHOTOMETRIC MEASUREMENTS	Partial
THE PREVALENCE OF TWO `COMMONLY' ENCOUNTERED SYNTHETIC TARGET FIBRES WITHIN A LARGE URBAN ENVIRONMENT	THE PREVALENCE OF TWO `COMMONLY' ENCOUNTERED SYNTHETIC TARGET FIBRES WITHIN A LARGE URBAN ENVIRONMENT	THE PREVALENCE OF TWO 'COMMONLY' ENCOUNTERED SYNTHETIC TARGET FIBRES WITHIN A LARGE URBAN ENVIRONMENT	Partial
THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS	THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS	THE ROLE OF FIBERS IN FORENSIC SCIENCE EXAMINATIONS	Partial
THE SUPERFICIAL ANULUS FIBROSUS LIGAMENT - AN INCIPIENT DESCRIPTION OF A SEPARATE LIGAMENT BETWEEN THE LUMBAR ANTERIOR LONGITUDINAL LIGAMENT AND THE INTERVERTEBRAL DISC	THE SUPERFICIAL ANULUS FIBROSUS LIGAMENT - AN INCIPIENT DESCRIPTION OF A SEPARATE LIGAMENT BETWEEN THE LUMBAR ANTERIOR LONGITUDINAL LIGAMENT AND THE INTERVERTEBRAL DISC	THE SUPERFICIAL ANULUS FIBROSUS LIGAMENT: AN INCIPIENT DESCRIPTION OF A SEPARATE LIGAMENT BETWEEN THE LUMBAR ANTERIOR LONGITUDINAL LIGAMENT AND THE INTERVERTEBRAL DISC	Partial
THE USE OF THE FOSTER \& FREEMAN FX5 FIBRE FINDER IN FORENSIC TEXTILE EXAMINATIONS	THE USE OF THE FOSTER \& FREEMAN FX5 FIBRE FINDER IN FORENSIC TEXTILE EXAMINATIONS	THE USE OF THE FOSTER AND FREEMAN FX5 FIBRE FINDER IN FORENSIC TEXTILE EXAMINATIONS	Partial
THE VALUE OF INDUSTRIAL INQUIRIES IN CASES INVOLVING TEXTILE FIBERS	THE VALUE OF INDUSTRIAL INQUIRIES IN CASES INVOLVING TEXTILE FIBERS	THE VALUE OF INDUSTRIAL ENQUIRIES IN CASES INVOLVING TEXTILE FIBRES	Partial
TRACERS AS INVISIBLE EVIDENCE - THE TRANSFER AND PERSISTENCE OF FLOCK FIBRES DURING A CAR EXCHANGE	TRACERS AS INVISIBLE EVIDENCE - THE TRANSFER AND PERSISTENCE OF FLOCK FIBRES DURING A CAR EXCHANGE	TRACERS AS INVISIBLE EVIDENCE THE TRANSFER AND PERSISTENCE OF FLOCK FIBRES DURING A CAR EXCHANGE	Partial
UNEXPECTED DEATH IN TWO YOUNG INFANTS MIMICS SIDS - AUTOPSIES DEMONSTRATE TUMORS OF MEDULLA AND HEART	UNEXPECTED DEATH IN TWO YOUNG INFANTS MIMICS SIDS - AUTOPSIES DEMONSTRATE TUMORS OF MEDULLA AND HEART	UNEXPECTED DEATH IN TWO YOUNG INFANTS MIMIC SIDS: AUTOPSIES DEMONSTRATE TUMORS OF MEDULLA AND HEART	Partial
